B068-P032 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | IVORY WHITE | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P033 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | COFFEE BROWN | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P034 | top | oversized crew-neck knit jumper | chunky knit | marl | 3 | 2 | on model | no | colorfulstandard.com | NONE | Oversized Merino Wool Crew | COFFEE BROWN | NONE | €120 | layout=centred; second image of carousel; looks heathered on model, flatter in P033
B068-P035 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | FADED PINK | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P036 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | CHERRY BLOSSOM | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P037 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | BUBBLEGUM PINK | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P038 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | RED TANGERINE | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P039 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | COLORFUL STANDARD | Oversized Merino Wool Crew | SCARLET RED | NONE | NONE | layout=centred; SOLD OUT badge; brand from header wordmark; price not in frame
B068-P040 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | OXBLOOD RED | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P041 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | SOFT YELLOW | NONE | €120 | layout=centred; fibre words only in product name; neck label too small to read
B068-P042 | top | oversized crew-neck knit jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Oversized Merino Wool Crew | KELLY GREEN | NONE | €120 | layout=centred; size row partly visible; fibre words only in product name
