B021-P024 | top | oversized wool-cashmere sweater under jacket | unclear | solid | 3 | 3 | on model | no | lardini.com | LARDINI | BROWN OVERSIZED SWEATER IN WOOL AND CASHMERE | NONE | NONE | €415,00 | full look on model, sweater largely hidden by jacket, head cropped
B021-P025 | top | short-sleeve crew-neck knit top | fine knit | solid | 2 | 3 | flat packshot | yes | lardini.com | LARDINI | BEIGE CREW-NECK SWEATER | NONE | NONE | €360,00 | woven LARDINI neck label visible, five image dots below
B021-P026 | multiple | listing grid of parka, trousers, sequin top and skirt | mixed | mixed | 3 | 3 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, SEQUIN MESH TOP CHF270 and SEQUINNED MESH SKIRT CHF395 legible
B021-P027 | layer | nylon gabardine bomber jacket | matt nylon | solid | 3 | 2 | flat packshot | yes | herno.com | HERNO | NYLON GABARDINE BOMBER JACKET | MILITARY | made from recycled nylon | CHF815 | colour swatch row black and military, PRE-ORDER ITEM, thumbnail strip
B022-P001 | multiple | listing grid of bomber, parka, jumper, wool jacket | mixed | mixed | 3 | 2 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, ALPACA JACQUARD JUMPER CHF390 and STRETCH WOOL JACKET CHF730 legible
B022-P002 | multiple | listing grid of two jackets and two trousers | mixed | mixed | 3 | 2 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, sherpa jacket CHF635, leather-effect jacket CHF765, trousers CHF365 and CHF265
B022-P003 | multiple | listing grid of peacoat, shirt, turtleneck, shacket | mixed | mixed | 3 | 3 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, 2-LAYER SCUBA PEACOAT CHF815, COTTON POPLIN SHIRT WITH BOW CHF215
B022-P004 | multiple | listing grid of coat, turtleneck, knit tee, striped shirt | mixed | mixed | 3 | 3 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, cursor highlight over one tile, prices CHF265 to CHF865
B022-P005 | multiple | listing grid of knit tee, trench, trainers, long skirt | mixed | mixed | 2 | 3 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, LEATHER-EFFECT TRENCH COAT CHF1.080, trainers CHF390, skirt CHF295
B022-P006 | multiple | listing grid of cardigan, polo, down jacket, poncho | mixed | mixed | 3 | 2 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, all Resort line, poncho marked BESTSELLER, prices CHF195 to CHF785
B022-P007 | multiple | listing grid of striped dress, polo, cardigan, shirt | mixed | mixed | 2 | 3 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, RESORT DRESS IN SILK CHF595, RESORT SHIRT IN COTTON VOILE CHF285
B022-P008 | multiple | listing grid of cardigan, knit jacket, poncho, trousers | mixed | mixed | 3 | 3 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, RESORT JACKET IN CASHMERE AND SILK CHF1.355, satin trousers CHF295
B022-P009 | multiple | listing grid of three jackets and a gilet | mixed | mixed | 3 | 2 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, matt nylon jacket CHF695, satin bomber CHF675, vest CHF535
B022-P010 | multiple | listing grid of knit coat, satin top, rib jacket, linen jacket | mixed | mixed | 3 | 3 | listing grid | no | herno.com | HERNO | NONE | NONE | NONE | NONE | grid, RESORT COAT IN CASHMERE AND SILK CHF1.610, SATIN RESORT TOP CHF295
