B068-P086 | top | chunky rib-trim turtleneck jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Merino Wool Turtleneck | NAVY BLUE | NONE | €140 | layout=centred; no swatches visible; "Merino Wool" appears only in product title; six image dots
B068-P087 | top | chunky rib-trim turtleneck jumper | chunky knit | solid | 3 | 2 | flat packshot | yes | colorfulstandard.com | NONE | Merino Wool Turtleneck | ULTRA VIOLET | NONE | €140 | layout=centred; no swatches visible; "Merino Wool" appears only in product title; same product as B068-P088
B068-P088 | top | chunky rib-trim turtleneck jumper | chunky knit | solid | 3 | 2 | on model | yes | colorfulstandard.com | NONE | Merino Wool Turtleneck | ULTRA VIOLET | NONE | €140 | layout=centred; no swatches visible; "Merino Wool" only in title; worn with grey trousers, legs cropped
B069-P001 | multiple | listing grid of six knit jumpers | brushed knit | mixed | 3 | 2 | listing grid | yes | careofcarl.ch | HARLEY OF SCOTLAND | NONE | NONE | NONE | NONE | layout=grid; all six HARLEY OF SCOTLAND; CHF 170-235; titles truncated, e.g. "Donegal Wool Polo Machair"
B069-P002 | multiple | listing grid of knitwear from several brands | mixed | mixed | 3 | 2 | listing grid | no | CARE OF CARL | NONE | NONE | NONE | NONE | NONE | layout=grid; brands HARLEY OF SCOTLAND, STENSTRÖMS, MONCLER, LES DEUX, MORRIS, STONE ISLAND; CHF 185-655
B070-P001 | top | raglan-sleeve crew-neck jumper, rolled edges | chunky nepped knit | marl | 3 | 2 | flat packshot | yes | TOAST | TOAST | Orla Donegal Wool Sweater | Willow Green | Donegal-spun wool | €300.00 | layout=side-by-side; swatches=6 photo, Willow Green selected; on-model photo beside
B070-P002 | top | raglan-sleeve crew-neck jumper, rolled edges | chunky nepped knit | marl | 3 | 2 | flat packshot | yes | TOAST | TOAST | Orla Donegal Wool Sweater | Emerald | Donegal-spun wool | €300.00 | layout=side-by-side; swatches=6 photo, Emerald selected; model with olive wide trousers
B070-P003 | top | raglan-sleeve crew-neck jumper, rolled edges | chunky nepped knit | marl | 3 | 2 | flat packshot | yes | TOAST | TOAST | Orla Donegal Wool Sweater | Emerald | warm wool spun in Donegal, Ireland | €300.00 | layout=side-by-side; swatches=6 photo, Emerald selected; wider render of B070-P002
B070-P004 | top | raglan-sleeve crew-neck jumper, rolled edges | chunky nepped knit | marl | 3 | 2 | flat packshot | yes | TOAST | TOAST | Orla Donegal Wool Sweater | Bordeaux | warm wool spun in Donegal, Ireland | €300.00 | layout=side-by-side; swatches=6 photo, Bordeaux selected; model shown from back
B070-P005 | top | raglan-sleeve crew-neck jumper, rolled edges | chunky nepped knit | marl | 3 | 2 | flat packshot | yes | TOAST | TOAST | Orla Donegal Wool Sweater | Navy | warm wool spun in Donegal, Ireland | €300.00 | layout=side-by-side; swatches=6 photo, Navy selected; model wears knit scarf over shoulders
B070-P006 | top | raglan-sleeve crew-neck jumper, rolled edges | chunky nepped knit | marl | 3 | 2 | flat packshot | yes | TOAST | TOAST | Orla Donegal Wool Sweater | Corallite | warm wool spun in Donegal, Ireland | €300.00 | layout=side-by-side; swatches=6 photo, Corallite selected; model with rust midi skirt
B070-P007 | top | raglan-sleeve crew-neck jumper, rolled edges | chunky nepped knit | marl | 3 | 2 | flat packshot | yes | TOAST | TOAST | Orla Donegal Wool Sweater | Straw | warm wool spun in Donegal, Ireland | €300.00 | layout=side-by-side; swatches=6 photo, Straw selected; model with brown corduroy-look trousers
B070-P008 | top | raglan-sleeve crew-neck jumper, rolled edges | chunky nepped knit | marl | 3 | 2 | flat packshot | yes | TOAST | TOAST | Orla Donegal Wool Sweater | Willow Green | warm wool spun in Donegal, Ireland | €300.00 | layout=side-by-side; swatches=6 photo, Willow Green selected; wider render of B070-P001
B070-P009 | layer | cropped crew-neck button cardigan, dolman sleeves | fisherman rib knit | solid | 3 | 2 | flat packshot | yes | TOAST | TOAST | Ribbed Wool Rounded Cardigan | Dark Navy | Italian sheep's wool | €380.00 | layout=side-by-side; swatches=1 photo, Dark Navy selected; "knitted in Italy"; corozo buttons
B070-P010 | top | fair-isle yoke raglan jumper | chunky knit | print | 3 | 2 | flat packshot | yes | TOAST | TOAST | Harvest Yoke Donegal Sweater | Navy/Blue | Donegal wool | €350.00 | layout=side-by-side; swatches=2 photo, Navy/Blue selected; geometric jacquard yoke
B070-P011 | top | half-sleeve high-neck fine knit sweater | fine knit | solid | 2 | 3 | flat packshot | yes | TOAST | TOAST | Fine Wool Cashmere Half Sleeve Sweater | Darkest Navy | light wool blended with recycled cashmere | €240.00 | layout=side-by-side; swatches=2 photo, Darkest Navy selected; flat lay on paper
B070-P012 | top | half-sleeve high-neck fine knit sweater | fine knit | marl | 2 | 3 | flat packshot | yes | TOAST | TOAST | Fine Wool Cashmere Half Sleeve Sweater | Olive Melange | light wool blended with recycled cashmere | €240.00 | layout=side-by-side; swatches=2 photo, Olive Melange selected; model with black wide trousers
B070-P013 | top | oversized roll-neck jumper, dropped sleeves | fine knit | solid | 3 | 3 | flat packshot | yes | TOAST | TOAST | Wool Cashmere Roll Neck Sweater | Bordeaux | wool and recycled cashmere | €320.00 | layout=side-by-side; swatches=3 photo, Bordeaux selected; model photo cropped at hips
B070-P014 | top | high-neck raglan jumper, rolled edges | medium knit | solid | 2 | 2 | flat packshot | yes | TOAST | TOAST | Cotton Linen Easy Sweater | Olivine | NONE | €270.00 | layout=side-by-side; swatches=5 photo, Olivine selected; fibres only in title; two sizes struck through
B070-P015 | top | high-neck raglan jumper, rolled edges | medium knit | solid | 2 | 2 | flat packshot | yes | TOAST | TOAST | Cotton Linen Easy Sweater | Red Pitaya | linen and organic cotton blend | €270.00 | layout=side-by-side; swatches=5 photo, Red Pitaya selected; composition from description text
B070-P016 | top | colour-block hand-framed crew-neck jumper | chunky space-dyed knit | mixed | 3 | 1 | flat packshot | yes | TOAST | TOAST | Colour Block Hand Framed Wool Sweater | Green Multi | locally sourced wool | €690.00 | layout=side-by-side; swatches=1 photo, Green Multi selected; mentions Manos del Uruguay
B070-P017 | top | seamless fine crew-neck sweater | fine knit | solid | 2 | 3 | flat packshot | yes | TOAST | TOAST | Wool Cashmere Neat Sweater | Ginger | a blend of wool and recycled cashmere | €235.00 | layout=side-by-side; swatches=2 photo, Ginger selected; model with burgundy barrel trousers
B070-P018 | top | seamless fine crew-neck sweater | fine knit | marl | 2 | 3 | flat packshot | yes | TOAST | TOAST | Wool Cashmere Neat Sweater | Midnight | a blend of wool and recycled cashmere | €235.00 | layout=side-by-side; swatches=2 photo, Midnight selected; style code LLTTW11
B070-P019 | top | boat-neck fuzzy knit jumper | brushed knit | marl | 3 | 2 | flat packshot | yes | TOAST | TOAST | Boat Neck Wool Sweater | Apple Green | locally spun heathery wool | €240.00 | layout=side-by-side; swatches=2 photo, Apple Green selected; "Knitted in Turkey"
