B037-P003 | top | short-sleeved felted knit pullover | felted knit | solid | 3 | 2 | on model | yes | soeur | SOEUR | SHORT-SLEEVED PULLOVER IN FELTED KNIT | navy | NONE | CHF 260.00 | style name LISE under title; colour swatch and size row visible
B037-P004 | shoes | soft leather flat loafers | smooth leather | solid | 2 | 3 | flat packshot | yes | soeur | SOEUR | SOFT LEATHER LOAFERS | black | NONE | CHF 345.00 | style name NINE; two colourway swatches; shoe size row
B037-P005 | layer | long raglan double tweed coat | tweed wool | solid | 4 | 3 | on model | yes | soeur | SOEUR | RAGLAN DOUBLE TWEED COAT | navy | NONE | CHF 785.00 | style name BERLIN; sold out, CREATE AN ALERT; two swatches
B037-P006 | layer | long navy wool raglan coat | brushed wool | solid | 4 | 3 | flat packshot | yes | ch.soeur.fr | NONE | NONE | NONE | NONE | NONE | zoomed image overlay, no page text; neck label too small to read
B037-P007 | layer | oversized collarless double-faced wool coat | brushed wool | solid | 4 | 3 | on model | yes | soeur | SOEUR | OVERSIZED COLLARLESS COAT IN DOUBLE-FACED WOOL | light grey | NONE | CHF 730.00 | style name HARROW; two colourway swatches; belt shown in some images
B037-P008 | accessory | double-faced wool buttoned cape | brushed wool | solid | 3 | 3 | flat packshot | yes | soeur | SOEUR | DOUBLE-FACED WOOL BUTTONED CAPE | light grey | NONE | CHF 225.00 | style name LISETTE; one colour swatch; no size selector
B037-P009 | accessory | buttoned wool cape wrap | brushed wool | marl | 3 | 3 | flat packshot | yes | ch.soeur.fr | NONE | NONE | NONE | NONE | NONE | zoomed image overlay; navy neck label present but not reliably legible
B038-P001 | layer | oversized collarless double-faced wool coat | brushed wool | solid | 4 | 3 | on model | yes | soeur | SOEUR | OVERSIZED COLLARLESS COAT IN DOUBLE-FACED WOOL | light grey | NONE | CHF 730.00 | same page as B037-P007, scrolled; shipping banner partly cut
B038-P002 | top | high-collar crepe jersey long-sleeve top | crepe jersey | solid | 1 | 2 | on model | yes | soeur | SOEUR | HIGH-COLLAR TOP IN CREPE JERSEY | pale yellow | NONE | CHF 285.00 | style name LISIA; two colourway swatches; shown on three models
B039-P001 | top | high-collar long-sleeve jersey top | crepe jersey | solid | 1 | 2 | flat packshot | yes | ch.soeur.fr | NONE | NONE | NONE | NONE | NONE | zoomed image overlay, no page text; tab title truncated
B039-P002 | top | oversized V-collar lined knit pullover | brushed knit | marl | 3 | 2 | on model | yes | soeur | SOEUR | OVERSIZED V-COLLAR PULLOVER WITH LINING | anthracite grey | NONE | CHF 320.00 | style name JULIE; two colourway swatches
B039-P003 | shoes | soft leather lace-up derbies | smooth leather | solid | 2 | 3 | flat packshot | yes | soeur | SOEUR | SOFT LEATHER DERBIES | warm brown | NONE | CHF 345.00 | style name ORSO; four colourway swatches
B039-P004 | multiple | listing grid of coats, knits, trousers, tops | mixed | mixed | 3 | 3 | listing grid | no | studionicholson.com | NONE | Campion Trench Coat in Mole; Loti Top in Black; Quarte Tailored Pant in Black; Mori Wool Coat in Darkest Navy; Loenne Knit in Camel | NONE | NONE | £995.00; £450.00; £375.00; £825.00; £330.00 | WOMEN'S WINTER '26 LOOKS heading; cookie banner; bottom row cropped
B039-P005 | layer | long belted double-breasted wool coat | brushed wool | solid | 4 | 3 | on model | yes | studionicholson.com | NONE | NONE | NONE | NONE | £825 | sticky SELECT A SIZE bar; tab title truncated to "Mori Woo"
B039-P006 | layer | long belted double-breasted wool coat | brushed wool | solid | 4 | 3 | flat packshot | yes | studionicholson.com | NONE | NONE | NONE | NONE | £825 | neck label present but too small to read; sticky price bar
B039-P007 | top | camel wool knit jumper | fine knit | solid | 2 | 2 | on model | yes | STUDIO NICHOLSON | STUDIO NICHOLSON | NONE | NONE | NONE | £330 | sleeves pushed up; Autumn Winter '26 Collection banner; tab "Loenne K"
B040-P001 | top | camel crew-neck knit jumper | fine knit | solid | 2 | 2 | flat packshot | yes | STUDIO NICHOLSON | STUDIO NICHOLSON | NONE | NONE | NONE | £330 | Klarna banner; same product as B039-P007 shown flat
B040-P002 | layer | oversized brown wool overcoat | brushed wool melange | marl | 4 | 3 | on model | yes | studionicholson.com | NONE | NONE | NONE | NONE | £850 | NEW IN label clipped at top; grey scarf styled over coat
B040-P003 | layer | brown wool single-breasted overcoat | brushed wool melange | marl | 4 | 3 | detail | no | STUDIO NICHOLSON | STUDIO NICHOLSON | NONE | NONE | NONE | £850 | cropped waist-up crop of same coat; grey scarf styled over it
B040-P004 | layer | short double-faced wool jacket | brushed wool | solid | 3 | 3 | on model | yes | studionicholson.com | NONE | NONE | NONE | NONE | £695 | NEW IN label clipped at top edge
B040-P005 | layer | oversized wool shawl-collar jacket | brushed wool | solid | 3 | 3 | flat packshot | yes | studionicholson.com | STUDIO NICHOLSON | NONE | NONE | NONE | £695 | neck label legible; size tab visible; same product as B040-P004
B040-P006 | layer | oversized black tailored blazer | wool suiting | solid | 3 | 4 | on model | yes | STUDIO NICHOLSON | STUDIO NICHOLSON | NONE | NONE | NONE | £625 | NEW IN; AW '26 banner; tab "Sono Wo"; woven belt styled
B041-P001 | layer | oversized single-breasted wool blazer | wool suiting | solid | 3 | 4 | flat packshot | yes | studionicholson.com | STUDIO NICHOLSON | NONE | NONE | NONE | £625 | neck label legible; same product as B040-P006
B041-P002 | dress | button-front midi dress with drawstring waist | matte slubbed woven | solid | 2 | 3 | on model | yes | studionicholson.com | NONE | NONE | NONE | NONE | £395 | NEW IN; lace hem below; may be shirt and skirt separates
B041-P003 | bottom | drawstring skirt with scalloped lace hem | matte slubbed woven | solid | 2 | 3 | flat packshot | yes | studionicholson.com | NONE | NONE | NONE | NONE | £395 | same price as B041-P002; lace trim stitched at hem
B041-P004 | layer | brown marl wool button cardigan | brushed knit | marl | 3 | 2 | on model | yes | studionicholson.com | NONE | NONE | NONE | NONE | £525 | NEW IN; styled over pale yellow roll-neck and taupe trousers
B041-P005 | layer | brown marl wool button cardigan | brushed knit | marl | 3 | 2 | flat packshot | yes | studionicholson.com | STUDIO NICHOLSON | NONE | NONE | NONE | £525 | neck label legible; confirms £525 belongs to cardigan in B041-P004
B041-P006 | dress | brown button-through V-neck midi dress | crinkled linen-look | solid | 2 | 3 | on model | yes | studionicholson.com | NONE | NONE | NONE | NONE | £495 | tab title truncated to "Yosha Dr"; worn over a roll-neck
B041-P007 | dress | brown button-through V-neck midi dress | slubbed linen-look | solid | 2 | 3 | flat packshot | yes | STUDIO NICHOLSON | STUDIO NICHOLSON | NONE | NONE | NONE | £495 | neck label legible; same product as B041-P006
