B080-P006 | multiple | leather and suede knee and ankle boots | smooth leather, suede-look | solid | 3 | 3 | listing grid | yes | atpatelier.com | NONE | NONE | NONE | VEGETABLE TANNED LEATHER; SUEDE; CHROME FREE NAPPA LEATHER | NONE | layout=grid; 12 boots, €530,00-€760,00; size row 35-42 on one tile
B080-P007 | multiple | ankle boots, slip-ins and penny loafers | smooth leather, suede-look, hair-on print | mixed | 2 | 3 | listing grid | yes | atpatelier.com | NONE | NONE | NONE | SUEDE; CHROME FREE NAPPA LEATHER; MINI COW | NONE | layout=grid; 12 shoes, €430,00-€660,00; per-tile swatch dots
B080-P008 | multiple | slip-ins, kitten-heel mules and slingbacks | smooth leather, hair-on print, suede-look | mixed | 2 | 3 | listing grid | yes | atpatelier.com | NONE | NONE | NONE | VEGETABLE TANNED LEATHER; MINI COW; CHROME FREE NAPPA LEATHER; PONY; SUEDE | NONE | layout=grid; 12 shoes, €330,00-€490,00; per-tile swatch dots
B080-P009 | multiple | kitten-heel slingbacks and backless slip-ins | smooth leather, grained leather, suede-look | solid | 2 | 3 | listing grid | yes | atpatelier.com | NONE | NONE | NONE | CHROME FREE NAPPA LEATHER; GRAINED LEATHER; SUEDE | NONE | layout=grid; 7 shoes, €390,00-€430,00; footer reads "Becoming ATP Atelier"
B080-P010 | multiple | pumps, Mary Janes, boat shoes, boots | smooth leather, suede-look, grained leather, hair-on | mixed | 2 | 3 | listing grid | yes | atpatelier.com | NONE | NONE | NONE | CHROME FREE NAPPA LEATHER; SUEDE; GRAINED LEATHER; VEGETABLE TANNED LEATHER; NATURAL RUBBER | NONE | layout=grid; 12 shoes, €250,00-€760,00; per-tile swatch dots
B080-P011 | multiple | winter boots, feather mules, flats, sandals | rubber, smooth leather, feathers, suede-look, hair-on print | mixed | 2 | 2 | listing grid | yes | atpatelier.com | NONE | NONE | NONE | NATURAL RUBBER; VIBRAM SOLE; GRAINED LEATHER; SUEDE; PRINTED CERBIATTO; PONY; VEGETABLE TANNED LEATHER; CHROME FREE NAPPA LEATHER | NONE | layout=grid; ~14 tiles, bottom row cut; browser tab reads ATP Atelier
B080-P012 | multiple | flat and heeled leather sandals | smooth leather, grained leather, suede-look | solid | 1 | 2 | listing grid | yes | atpatelier.com | NONE | NONE | NONE | GRAINED LEATHER; VEGETABLE TANNED LEATHER; SUEDE | NONE | layout=grid; 12 sandals, €330,00-€390,00; ATP ATELIER wordmark in header
B080-P013 | multiple | slouchy leather shoulder bag, belted | smooth leather | solid | 2 | 3 | listing grid | no | global.margesherwood.com | NONE | NONE | NONE | NONE | NONE | layout=grid; same bag two colourways titled, CHF 409.00; lower row cropped
B080-P014 | multiple | slouchy belted shoulder bag, four colourways | washed leather, suede-look | solid | 2 | 3 | listing grid | yes | global.margesherwood.com | NONE | NONE | NONE | NONE | NONE | layout=grid; SOFT GRANDMA SHOULDER BAG x4, CHF 409.00; nappa/suede in colour names
B081-P001 | multiple | structured barrel shoulder bag | smooth leather | solid | 2 | 3 | listing grid | no | global.margesherwood.com | NONE | NONE | NONE | NONE | NONE | layout=grid; BRICK bag two colourways titled, CHF 235.00; lower row cropped
B081-P002 | multiple | structured barrel shoulder bag | smooth leather | solid | 2 | 3 | listing grid | no | global.margesherwood.com | NONE | NONE | NONE | NONE | NONE | layout=grid; BRICK_sepia plain and BRICK_black plain, CHF 235.00; top row cropped
