B047-P002 | top | structured cocoon-sleeve open-front top | fine organza-like woven | solid | 1 | 3 | on model | yes | khaite.com | KHAITE | Briar Top | NONE | NONE | NONE | product title taken from browser tab; head cropped, skirt continues off frame
B047-P003 | top | structured cocoon-sleeve open-front top | fine organza-like woven | solid | 1 | 3 | on model | yes | khaite.com | KHAITE | Briar Top | Bronze | NONE | CHF 1,900 | two colour swatches and size row visible below product
B047-P004 | multiple | ribbed cardigans and structured jackets | ribbed knit and smooth leather | mixed | 3 | 3 | listing grid | no | khaite.com | KHAITE | IXIN JACKET; CONFORTI JEAN; MARJORIE CARDIGAN; MARJORIE CARDIGAN | NONE | NONE | CHF 2,700; CHF 575; CHF 2,200; CHF 2,200 | Ready-to-Wear listing; swatch rows; bottom row cropped
B048-P001 | layer | cropped double-breasted wool jacket | melton wool | solid | 4 | 3 | on model | yes | khaite.com | KHAITE | NONE | NONE | NONE | NONE | browser tab truncated to "Meko Jac"; printed skirt shown beneath
B048-P002 | bottom | high-rise straight-leg jeans | denim | solid | 2 | 1 | flat packshot | no | khaite.com | KHAITE | NONE | NONE | NONE | NONE | browser tab truncated to "Danielle"; hems run off bottom edge
B048-P003 | bottom | high-rise straight-leg jeans | denim | solid | 2 | 1 | on model | yes | khaite.com | KHAITE | NONE | NONE | NONE | NONE | styled with cream knit top and black loafers
B048-P004 | bottom | high-rise straight-leg jeans | denim | solid | 2 | 1 | flat packshot | no | khaite.com | KHAITE | NONE | NONE | NONE | NONE | browser tab truncated to "Danielle"; hems run off bottom edge
B049-P001 | bottom | high-rise straight-leg jeans | denim | solid | 2 | 1 | flat packshot | yes | khaite.com | KHAITE | NONE | NONE | NONE | NONE | dark wash; tiny waistband label not legible
B049-P002 | multiple | suede bucket tote handbags | suede | solid | 1 | 3 | listing grid | no | khaite.com | KHAITE | SMALL LOTUS TOTE; SMALL LOTUS TOTE | NONE | NONE | CHF 2,450; CHF 2,550 | Handbags listing; swatch rows show "+ 7"; third image cropped
B049-P003 | multiple | suede shoulder bags, hobo and bucket tote | suede | solid | 1 | 3 | listing grid | no | khaite.com | KHAITE | DONNA SHOULDER BAG; MINI OLIVIA HOBO; DONNA SHOULDER BAG; MINI LOTUS TOTE | NONE | NONE | CHF 2,300; CHF 1,350; CHF 2,300; CHF 2,050 | Handbags listing; swatch rows "+ 1" and "+ 2"
B050-P001 | multiple | oversized acetate sunglasses | glossy acetate | mixed | 1 | 3 | listing grid | no | khaite.com | KHAITE | KHAITE X OLIVER PEOPLES 1975C; KHAITE X OLIVER PEOPLES 1975C; KHAITE X OLIVER PEOPLES 1965C; KHAITE X OLIVER PEOPLES 1965C | NONE | NONE | CHF 499; CHF 499; CHF 499; CHF 499 | Accessories listing; top row cropped; lens swatch rows visible
B050-P002 | bottom | long leather skirt with crochet lace panels | smooth leather with crochet lace | mixed | 2 | 3 | on model | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | full look; lace-trim knit camisole worn above skirt
B050-P003 | bottom | long leather skirt with crochet lace panels | smooth leather with crochet lace | mixed | 2 | 3 | flat packshot | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | -
B050-P004 | top | lace-trimmed fine-knit camisole | fine knit with lace trim | solid | 1 | 2 | on model | no | ullajohnson.com | NONE | Elena Lace Cami | Almond | Embroidered Merino Wool Cami Vest | CHF 319 | hem tucked into leather trousers; image carousel dots visible
B050-P005 | top | lace-trimmed fine-knit camisole | fine knit with lace trim | solid | 1 | 2 | detail | no | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | browser tab truncated to "Elena Lac"; close crop of neckline
B050-P006 | top | lace-trimmed fine-knit camisole | fine knit with lace trim | solid | 1 | 2 | flat packshot | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | carousel dots below image
B050-P007 | bottom | midi skirt with sheer lace hem | fine knit with floral lace | mixed | 1 | 3 | on model | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | browser tab truncated to "Josina La"; grey balloon-sleeve knit above
B050-P008 | bottom | midi skirt with sheer lace hem | fine knit with floral lace | mixed | 1 | 3 | on model | no | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | waistband above crop; grey balloon-sleeve knit above
B051-P001 | bottom | midi skirt with sheer lace hem | fine knit with floral lace | mixed | 1 | 3 | on model | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | enlarged lightbox view with next/prev arrows
B051-P002 | bottom | midi skirt with sheer lace hem | fine knit with floral lace | mixed | 1 | 3 | on model | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | lightbox full-look view; grey turtleneck and fringed pumps
B051-P003 | bottom | midi skirt with sheer lace hem | fine knit with floral lace | mixed | 1 | 3 | on model | no | ullajohnson.com | NONE | Josina Lace Midi Skirt | Almond | Embroidered Merino Wool Midi Skirt | CHF 979 | waistband above crop; two colour swatches below
B051-P004 | top | balloon-sleeve ribbed turtleneck jumper | ribbed knit | solid | 3 | 2 | on model | yes | ullajohnson.com | NONE | Camille Knit Pullover | Pebble | Grey Merino Wool Turtleneck Sweater | CHF 615 | olive leather skirt below; carousel dots visible
B052-P001 | top | balloon-sleeve ribbed turtleneck jumper | ribbed knit | solid | 3 | 2 | on model | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | lightbox full-look view; olive leather midi skirt below
B052-P002 | top | balloon-sleeve ribbed turtleneck jumper | ribbed knit | solid | 3 | 2 | flat packshot | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | lightbox packshot with next/prev arrows
B052-P003 | bottom | high-rise wide-leg seamed jean | washed denim | solid | 2 | 2 | flat packshot | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | tan colourway; no page text visible below image
B052-P004 | bottom | high-rise wide-leg seamed jean | washed denim | solid | 2 | 2 | on model | yes | ullajohnson.com | NONE | The Bianca Wide Leg Seamed Jean | Umber | NONE | CHF 515 | subtitle "High Rise Flare Jean"; three colour swatches below
B052-P005 | bottom | high-rise wide-leg seamed jean | washed denim | solid | 2 | 2 | flat packshot | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | lightbox view; browser tab truncated to "The Bian"
B052-P006 | bottom | high-rise wide-leg seamed jean | black washed denim | solid | 2 | 2 | on model | yes | ullajohnson.com | NONE | NONE | NONE | NONE | NONE | sheer lace sleeveless top and leopard-print pumps styled with it
B052-P007 | multiple | dresses, jackets, blouses and knitwear | mixed - silk, cloque, brushed knit, satin | mixed | 2 | 3 | listing grid | no | ullajohnson.com | ULLA JOHNSON | Tessa Long Sleeve Silk Dress; Katerina Strapless Cloque Dress; Cosette Cashmere Fur Pullover; Lune Long Sleeve Silk Mini Dress; Laure Sleeveless Midi Dress; Cosima Strapless Satin Dress; Roux Cloque Jacket; Elise Short Sleeve Silk Blouse | Eclipse; Beryl; Powder; Eclipse; Noir; Orchid; Beryl; Eclipse | NONE | CHF 879; CHF 979; CHF 1,600; CHF 839; CHF 585; CHF 1,300; CHF 879; CHF 485 | New Arrivals (508 items); bottom row partly cropped
