B001-P001 | layer | single-breasted knee-length car coat | smooth cotton-look twill | solid | 3 | 3 | on model | yes | ARKET | ARKET | CARCOAT | NONE | NONE | € 199 | model's head cropped; knit, jeans and black tote also in frame
B001-P002 | shoes | croc-embossed leather flat loafers | croc-embossed leather | solid | 2 | 3 | detail | yes | ARKET | ARKET | NONE | NONE | NONE | € 199 | lower-leg crop; price half hidden behind add-to-basket bar
B001-P003 | accessory | black leather belt with oval gold buckle | smooth leather | solid | 1 | 2 | detail | no | ARKET | ARKET | LEDERGÜRTEL | NONE | NONE | NONE | belt ends hidden behind body; white top and jeans in frame
B001-P004 | shoes | pointed kitten-heel leather mules | smooth leather | solid | 1 | 3 | flat packshot | yes | massimodutti.com | Massimo Dutti | NONE | NONE | Destalonierte Schuhe mit Absatz aus Rindsleder. Innenfutter und Decksohle aus Leder. | NONE | Ref. 1402/850; three views; the 99,00 € shown is a shipping threshold
B002-P001 | base | lace-trim V-neck jersey camisole | fine jersey | solid | 1 | 2 | on model | yes | ovsfashion.com | OVS | Camisola interior castanha em viscose elástica com decote em V profundo e acabamento em renda | Brown | viscose elástica | € 9,95 | colour swatch row white/brown/black; New Collection badge; briefs also shown
B003-P001 | base | cotton-blend briefs, pack of three | fine jersey | solid | 1 | 1 | on model | yes | ovsfashion.com | OVS | Pack de 3 cuecas multicolor em mistura de algodão orgânico elástico | Multicolour | mistura de algodão orgânico elástico | € 9,95 | camisole also worn; New Collection badge; price highlighted yellow
B004-P001 | base | triangle bralette and briefs set | fine jersey | solid | 1 | 1 | on model | yes | NONE | NONE | NONE | NONE | NONE | NONE | bare image, no shop chrome; New Collection badge bottom-left
B005-P001 | base | lace-trim triangle bralette | fine jersey with lace trim | solid | 1 | 2 | flat packshot | yes | ovsfashion.com | OVS | NONE | NONE | NONE | NONE | product title hidden behind promo bar; New Collection badge
B006-P001 | multiple | ribbed socks and lace-trim bralette | ribbed knit | mixed | 2 | 1 | listing grid | yes | NONE | NONE | NONE | NONE | NONE | NONE | six tiles; Made in Italy and New Collection badges; no prices visible
B007-P001 | top | striped poplin button-front shirt | poplin | stripe | 1 | 3 | on model | yes | ovsfashion.com | PIOMBO | NONE | NONE | NONE | NONE | product title hidden behind promo bar; denim skirt in frame
B007-P002 | bottom | wide-leg five-pocket ecru trousers | denim-look twill | solid | 2 | 2 | on model | yes | ovsfashion.com | PIOMBO | NONE | NONE | NONE | NONE | title hidden behind promo bar; printed tee and brown boots in frame
B007-P003 | top | fine-knit polo-collar jumper | fine knit | solid | 2 | 3 | on model | no | ovsfashion.com | LES COPAINS | NONE | NONE | NONE | NONE | seated pose hides hem; blue shirt, jeans and belt in frame
B008-P001 | layer | V-neck sleeveless knitted vest | fine knit | solid | 2 | 3 | on model | yes | ovsfashion.com | LES COPAINS | NONE | NONE | NONE | NONE | title hidden behind promo bar; striped shirt and denim skirt in frame
B008-P002 | top | short-sleeve knitted polo top | fine knit | solid | 2 | 3 | on model | yes | ovsfashion.com | LES COPAINS | NONE | NONE | NONE | NONE | seated pose; title hidden behind promo bar; black trousers in frame
B008-P003 | layer | crew-neck button-front fine-knit cardigan | fine knit | marl | 2 | 3 | on model | yes | ovsfashion.com | LES COPAINS | NONE | NONE | NONE | NONE | title hidden behind promo bar; jeans in frame
B009-P001 | layer | single-breasted knee-length car coat | smooth cotton-look twill | solid | 3 | 3 | on model | yes | ARKET | ARKET | CARCOAT | NONE | NONE | € 199 | byte-identical duplicate of B001-P001; model's head cropped
B009-P002 | shoes | croc-embossed leather flat loafers | croc-embossed leather | solid | 2 | 3 | detail | yes | ARKET | ARKET | NONE | NONE | NONE | € 199 | byte-identical duplicate of B001-P002; price half hidden behind bar
B009-P003 | accessory | black leather belt with oval gold buckle | smooth leather | solid | 1 | 2 | detail | no | ARKET | ARKET | LEDERGÜRTEL | NONE | NONE | NONE | byte-identical duplicate of B001-P003; belt ends hidden behind body
B009-P004 | shoes | pointed kitten-heel leather mules | smooth leather | solid | 1 | 3 | flat packshot | yes | massimodutti.com | Massimo Dutti | NONE | NONE | Destalonierte Schuhe mit Absatz aus Rindsleder. Innenfutter und Decksohle aus Leder. | NONE | byte-identical duplicate of B001-P004; Ref. 1402/850
B010-P001 | top | white poplin button-front shirt | poplin | solid | 1 | 3 | flat packshot | yes | aspesi.com | ASPESI | NONE | NONE | NONE | NONE | ASPESI neck label legible; Search this screen overlay
B010-P002 | multiple | blue poplin shirt with navy full midi skirt | poplin | solid | 2 | 3 | on model | yes | aspesi.com | NONE | NONE | NONE | NONE | NONE | full look, no product text on screen; brown loafers in frame
B010-P003 | top | cream short-sleeve open-collar knit polo | fine knit | solid | 2 | 2 | flat packshot | yes | aspesi.com | ASPESI | NONE | NONE | NONE | NONE | image viewer with four thumbnails; Google Translate bar; ASPESI neck label
B010-P004 | top | navy short-sleeve open-collar knit polo | fine knit | solid | 2 | 2 | flat packshot | yes | aspesi.com | ASPESI | NONE | NONE | NONE | NONE | same style as B010-P003 in navy; ASPESI neck label legible
B010-P005 | top | pink short-sleeve open-collar knit polo | fine knit | solid | 2 | 2 | flat packshot | yes | ASPESI | ASPESI | MAGLIA IN PURO COTONE | ROSA | filato puro cotone | €120,00 | five colour swatches; reduced from €200,00 -40%; on-model shot below
B011-P001 | bottom | navy wide-leg gabardine trousers | smooth gabardine twill | solid | 2 | 3 | flat packshot | yes | ASPESI | ASPESI | PANTALONE IN GABARDINA COTONE E LINO TINTO CAPO | NAVY | gabardine di cotone lino tinto capo | €325,00 | four colour swatches; on-model shot below with olive overshirt
B011-P002 | bottom | wide-leg trousers shown in four colourways | smooth twill | solid | 2 | 3 | listing grid | yes | aspesi.com | NONE | NONE | NAVY | NONE | €325,00 | zoomed page: price, colour swatch row, size row; no wordmark
B011-P003 | top | chambray button-front shirt | chambray | solid | 1 | 3 | flat packshot | yes | ASPESI | ASPESI | CAMICIA IN CHAMBRAY DI COTONE | DENIM CHIARO | popeline di cotone | €230,00 | one colour swatch; on-model shot below with denim jacket
B011-P004 | top | chambray button-front shirt | chambray | solid | 1 | 3 | flat packshot | yes | aspesi.com | ASPESI | NONE | NONE | NONE | NONE | full-screen image viewer 1/4; ASPESI neck label legible
B011-P005 | layer | technical taffeta overcoat | crisp technical taffeta | solid | 3 | 3 | flat packshot | yes | ASPESI | ASPESI | SOPRABITO IN TAFFETA TECNICO | BLU NERO | poliestere tecnico mano taffetas | €490,00 | two colour swatches; wide 7/8 sleeves; on-model shot below
