path,folder,type,what_it_shows,colour_words,brand_legible,composition,styled_how,open_note,hex1,share1,hex2,share2,hex3,share3,hex4,share4,hex5,share5,nearest_soft_autumn_anchor,anchor_delta_e,palette_confidence,confidence_reason,skin_share,subject_share,shortlist,suggested_name,width,height,bytes,format,opened
content/swipe/fashion shows ss27/IMG_0036.png,content/swipe/fashion shows ss27,visual,"Model in tan blouson, petrol blue draped top, long tiered olive-gold patterned skirt","Mustard-tan and olive gold against petrol blue, black ground, narrow warm range",,,"Cropped boxy jacket over floor-length fluid skirt; open front, long trailing ties, beaded necklace",Short stiff top half against a huge soft skirt makes proportion the whole story,44321F,0.283,181739,0.241,8A6738,0.183,5D5D7A,0.154,B4B4BD,0.139,chocolate,2.8,high,,0.002,0.566,yes,,1908,2746,11419649,PNG,opened_reduced
content/swipe/fashion shows ss27/IMG_0059.jpeg,content/swipe/fashion shows ss27,visual,Runway look: cream bra-style top with a dark column midi skirt,,,,,,A69878,0.303,342F29,0.253,CCBEA3,0.189,6F6753,0.161,694637,0.093,warm taupe,4.1,medium,background dominates frame,0.056,0.395,no,,1395,2570,684880,JPEG,contact_sheet
content/swipe/fashion shows ss27/IMG_0060.jpeg,content/swipe/fashion shows ss27,visual,Runway look: black structured peplum top over a dark skirt,,,,,,A59979,0.308,312D2A,0.206,C3B899,0.184,81775E,0.161,5D4D3F,0.141,warm taupe,4.9,medium,background dominates frame,0.097,0.338,no,,1459,2574,744883,JPEG,contact_sheet
content/swipe/fashion shows ss27/IMG_0061.jpeg,content/swipe/fashion shows ss27,visual,Black ruffled peplum top over sheer long black skirt with pale ruffled hem,"Near-black throughout with ivory hem and neckline flash, contrast only at edges",,,Tiered ruffle at waist echoed by hem ruffle; sheer skirt over visible body line,One pale edge on an all-black look draws the eye to movement,322D2B,0.331,A89B7B,0.201,85795F,0.191,604E3E,0.15,D3C5A9,0.127,warm charcoal,3.2,medium,background dominates frame,0.053,0.37,yes,,1686,2557,381734,JPEG,opened_reduced
content/swipe/fashion shows ss27/IMG_0070.jpeg,content/swipe/fashion shows ss27,format,"Substack note ""The Quo"" with three full-length runway images",,,,,,B8A996,0.296,93826D,0.226,37281E,0.176,604B3B,0.157,E3E2DE,0.145,warm taupe,6.4,high,,0.031,0.654,no,,1908,846,163489,JPEG,contact_sheet
content/swipe/fashion shows ss27/IMG_0075.jpeg,content/swipe/fashion shows ss27,format,Substack note with three full-length outfit photos,,,,,,989896,0.505,4C3F3C,0.243,CBD1DA,0.194,,,,,warm mid grey,8.7,medium,top cluster 51% — may still be a studio backdrop,0.012,0.688,no,,1908,934,245813,JPEG,contact_sheet
content/swipe/fashion shows ss27/IMG_0150.png,content/swipe/fashion shows ss27,visual,"Runway look: brown blouson jacket over a long dark skirt, petal-strewn runway",,,,,,7F6D69,0.29,181316,0.237,4C3A3A,0.169,B2B5BF,0.154,F5F8FA,0.149,warm mid grey,10.5,medium,skin band 10%,0.1,0.9,no,,1908,2746,4667917,PNG,contact_sheet
content/swipe/fashion shows ss27/IMG_0151.jpeg,content/swipe/fashion shows ss27,visual,Runway look: brown jacket over a camel midi skirt with flat sandals,,,,,,958983,0.314,E9EBEC,0.28,504446,0.16,1B161A,0.132,69432F,0.114,warm mid grey,4.7,medium,skin band 7%,0.073,0.927,no,,805,1676,248748,JPEG,contact_sheet
content/swipe/fashion shows ss27/IMG_0152.jpeg,content/swipe/fashion shows ss27,visual,"Runway look: black high-neck jacket over dark skirt and pale trousers, with bag",,,,,,766B66,0.314,171519,0.308,ACABB2,0.168,F2F4F6,0.106,493F40,0.103,warm mid grey,10.0,high,,0.04,0.96,no,,799,1676,223903,JPEG,contact_sheet
content/swipe/fashion shows ss27/IMG_0153.jpeg,content/swipe/fashion shows ss27,visual,"Sheer white lace-trimmed slip dress over underslip, pearls, white socks, clear heels","White on white on skin tones, pale pink petals underfoot, almost no contrast",,,"Layered sheer over opaque slip; lace at neckline, waist and hem; socks with transparent shoes",All-white works because three different degrees of transparency stack visibly,6B5D57,0.37,C2C2C6,0.258,F5F7F9,0.144,A1999B,0.127,1B1515,0.101,chocolate,13.7,medium,skin band 7%,0.073,0.927,yes,,694,1531,183314,JPEG,opened_reduced
