B075-P001 | shoes | leather Chelsea ankle boots, stacked heel | smooth leather | solid | 3 | 3 | flat packshot | yes | R. M. WILLIAMS | R.M.Williams | Lady Yearling boot – chestnut yearling leather | NONE | yearling leather | €525.00 | layout=centred; colour "chestnut" appears only in title; image 1/6; Made in Australia
B075-P002 | shoes | leather Chelsea ankle boots, stacked heel | smooth leather | solid | 3 | 3 | flat packshot | yes | R. M. WILLIAMS | R.M.Williams | Lady Yearling boot – mid brown pull-up leather | NONE | pull-up leather | €550.00 | layout=centred; colour "mid brown" appears only in title; image 1/6
B075-P003 | shoes | zip-up western-style ankle boots | smooth leather | solid | 3 | 3 | flat packshot | yes | R. M. WILLIAMS | NONE | Etta boot – black smooth moulton leather | NONE | smooth moulton leather | €595.00 | layout=centred; colour "black" appears only in title; image 1/6
B075-P004 | dress | short-sleeve belted midi coat dress, gold buttons | bouclé | solid | 2 | 4 | on model | yes | NONE | NONE | NONE | NONE | NONE | NONE | layout=other; video still, mirror selfie, not a shop page
B075-P005 | layer | brushed zip-up knit cardigan, spread collar | brushed knit | solid | 3 | 2 | flat packshot | yes | LILYSILK | LILYSILK | NONE | NONE | NONE | NONE | layout=centred; German-language page; tab "Gebürstete Ka..."
B075-P006 | layer | brushed zip-up knit cardigan | brushed knit | solid | 3 | 2 | flat packshot | no | lilysilk.com | NONE | Gebürstete Kaschmir-Zip-Strickjacke | Kamel | KASCHMIR | CHF 469.00 | layout=centred; swatches=1; sizes XS-XL; same item as B075-P005
B075-P007 | bottom | high-waist pleated wide-leg trousers | unclear | solid | 2 | 3 | flat packshot | yes | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; no product text visible
B076-P001 | layer | belted short wrap coat, patch pockets | double-face wool-look | solid | 4 | 3 | flat packshot | no | lilysilk.com | NONE | Doppellagiger Woll-Kaschmir-Kurzmantel | Lilienweiß | Woll-Kaschmir | CHF 469.00 | layout=centred; swatches=1; top of coat cropped
B076-P002 | top | scoop-neck knit tank top | fine knit | solid | 1 | 2 | flat packshot | yes | LILYSILK | LILYSILK | NONE | NONE | NONE | NONE | layout=centred; no product text visible
B076-P003 | multiple | listing grid: hoodie, knit dress, trousers, minidress | ribbed knit | mixed | 2 | 2 | listing grid | no | lilysilk.com | NONE | Waschbare Seiden-Woll-Knöchelhose / Das Boat-Minikleid / Maschinenwaschbarer Woll-Strick-Hoodie / Maschinenwaschbares Woll-Strickkleid | NONE | SEIDENLEINEN / MERINOWOLLE / MERINOWOLLE | CHF 189.00 / CHF 169.00 / CHF 169.00 / CHF 209.00 | layout=grid; swatches=3/2/1/1 per tile; tiles cropped top and bottom
B076-P004 | top | ribbed half-zip hooded knit sweater | ribbed knit | solid | 3 | 1 | flat packshot | yes | lilysilk.com | LILYSILK | NONE | NONE | NONE | NONE | layout=centred; no product text visible
B076-P005 | dress | sleeveless mock-neck belted knit midi dress | fine knit | solid | 2 | 3 | on model | yes | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; worn with black mule sandals
B076-P006 | dress | sleeveless belted knit midi dress | fine knit | marl | 2 | 3 | flat packshot | no | lilysilk.com | NONE | Maschinenwaschbares Woll-Strickkleid | Donner | MERINOWOLLE | CHF 209.00 | layout=centred; swatches=1; same item as B076-P005
B076-P007 | multiple | off-shoulder knit top with pleated wide trousers | fine knit | solid | 2 | 3 | on model | no | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; product shown unclear, top or trousers; face cropped
B077-P001 | top | asymmetric off-shoulder fitted knit top | fine knit | solid | 2 | 3 | flat packshot | yes | LILYSILK | NONE | NONE | NONE | NONE | NONE | layout=centred; no product text visible; banner "Weiche Layers für den Herbst"
B077-P002 | layer | collarless cropped jacket, gold buttons | smooth woven | solid | 2 | 4 | flat packshot | yes | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; neck label present but illegible
B077-P003 | layer | collarless cropped jacket, flap pockets | smooth woven | solid | 2 | 4 | flat packshot | no | lilysilk.com | NONE | Mara Jacke aus Seide und Leinen | Schwarz | SEIDENLEINEN; Seide-Leinen-Stoff | CHF 209.00 | layout=centred; swatches=2; sizes XS-XL; same item as B077-P002
B077-P004 | top | long-sleeve knit polo | fine knit | solid | 2 | 2 | flat packshot | yes | lilysilk.com | LILYSILK | NONE | NONE | NONE | NONE | layout=centred; no product text visible
B077-P005 | top | long-sleeve knit polo | fine knit | solid | 2 | 2 | flat packshot | no | lilysilk.com | NONE | Seiden-Kaschmir-Polo | Henna | Seiden-Kaschmir-Mischung | CHF 169.00 | layout=centred; swatches=3; same item as B077-P004
B077-P006 | bottom | high-waist tapered trousers | smooth woven | solid | 2 | 3 | flat packshot | yes | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; no product text visible
B077-P007 | top | cowl-neck satin camisole | satin | solid | 1 | 3 | flat packshot | yes | LILYSILK | NONE | NONE | NONE | NONE | NONE | layout=centred; no product text visible; header wordmark faint
B077-P008 | bottom | pull-on wide-leg satin trousers | satin | solid | 1 | 3 | flat packshot | yes | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; no product text visible
B077-P009 | top | collared button-front slim knit top | fine knit | solid | 2 | 2 | flat packshot | yes | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; no product text visible
B077-P010 | top | collared button-front slim knit top | fine knit | solid | 2 | 2 | flat packshot | no | lilysilk.com | NONE | Slim Fit Seiden-Kaschmir Pullover | Artischocke | Seiden-Kaschmir-Mischung | CHF 169.00 | layout=centred; swatches=2; sizes XS-XL; same item as B077-P009
B077-P011 | top | collared button-front slim knit top | fine knit | marl | 2 | 2 | flat packshot | no | LILYSILK | NONE | Slim Fit Seiden-Kaschmir Pullover | Donner | NONE | CHF 169.00 | layout=centred; swatches=2; second colourway of B077-P010
B077-P012 | top | collared button-front slim knit top | fine knit | marl | 2 | 2 | flat packshot | yes | LILYSILK | NONE | NONE | NONE | NONE | NONE | layout=centred; no product text visible; likely Donner colourway, unconfirmed
