B077-P013 | top | sleeveless mock-neck ribbed knit top | ribbed knit | marl | 2 | 2 | flat packshot | yes | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; LILYSILK wordmark is shop header only; banner "Weiche Layers für den Herbst"
B077-P014 | top | bias-cut satin camisole | satin | solid | 1 | 3 | flat packshot | yes | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; tab title truncated "Bias-Cami aus"; LILYSILK wordmark is shop header only
B077-P015 | top | bias-cut satin camisole | satin | solid | 1 | 3 | flat packshot | no | lilysilk.com | NONE | Bias-Cami aus doppelseitigem Seidencharmeuse | Artischocke | Seidencharmeuse | CHF 109.00 | layout=centred; swatches=2; same cami as B077-P014, second colourway burgundy swatch
B078-P001 | bottom | wide-leg pull-on trousers | satin | solid | 1 | 3 | flat packshot | no | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; waistband cropped at top; tab title truncated "Damenbekleid"
B078-P002 | bottom | wide-leg pull-on trousers | satin | solid | 1 | 3 | flat packshot | yes | lilysilk.com | NONE | NONE | NONE | NONE | NONE | layout=centred; same trouser as B078-P001 in brown, no text on page
B078-P003 | shoes | driving moccasin loafers | hair-on leather | solid | 2 | 2 | flat packshot | yes | TOD'S | TOD'S | Gommino Loafers in Pony Effect Leather | Brown | Pony Effect Leather | CHF710 | layout=stacked; "View 16 colors"; TOD'S label on shoe; Complete The Look bag and belt
B078-P004 | multiple | loafers listing grid | mixed | mixed | 2 | 3 | listing grid | no | tods.com | NONE | NONE | NONE | NONE | NONE | layout=grid; Loafers (59); 6 loafers CHF610-CHF880; right column cropped
B078-P005 | multiple | loafers listing grid | mixed | solid | 2 | 3 | listing grid | no | tods.com | NONE | NONE | NONE | NONE | NONE | layout=grid; 6 loafers incl. Mule Loafers in Suede, CHF710-CHF980
B078-P006 | multiple | loafers and mule loafers listing grid | mixed | mixed | 2 | 3 | listing grid | no | tods.com | NONE | NONE | NONE | NONE | NONE | layout=grid; 6 loafers, Nappa/Suede/Pony Effect, CHF770-CHF980
B078-P007 | multiple | loafers and Gommino driving shoes grid | mixed | solid | 2 | 2 | listing grid | no | tods.com | NONE | NONE | NONE | NONE | NONE | layout=grid; two tiles on model (feet only); Gommino section begins
B078-P008 | multiple | block-heel loafers and Gommino drivers grid | mixed | solid | 2 | 2 | listing grid | no | tods.com | NONE | NONE | NONE | NONE | NONE | layout=grid; 5 tiles, one on model; CHF610-CHF710
B078-P009 | multiple | Gommino suede loafers and sneakers grid | mixed | solid | 2 | 2 | listing grid | no | tods.com | Tod's | NONE | NONE | NONE | NONE | layout=grid; "Tod's" appears in tile title "Tod's T-Marathon Sneakers"
B078-P010 | multiple | Gommino loafers and sneakers grid | mixed | solid | 2 | 2 | listing grid | no | TOD'S | NONE | NONE | NONE | NONE | NONE | layout=grid; Sneakers (39) section; TOD'S wordmark is site header
B078-P011 | multiple | Gommino suede and leather loafers grid | mixed | solid | 2 | 2 | listing grid | no | tods.com | NONE | NONE | NONE | NONE | NONE | layout=grid; 9 tiles all Gommino, CHF610-CHF710, 13 colors each
B078-P012 | multiple | boat and bubble Gommino loafers grid | suede | solid | 2 | 2 | listing grid | no | tods.com | NONE | NONE | NONE | NONE | NONE | layout=grid; Boat Gommino CHF720; Gommino Bubble CHF610
B078-P013 | multiple | City Gommino loafers grid | mixed | solid | 2 | 2 | listing grid | no | tods.com | NONE | NONE | NONE | NONE | NONE | layout=grid; City Gommino in Leather/Nubuck/Suede/Patent, CHF610-CHF710
B078-P014 | shoes | suede driving moccasin loafer | suede | solid | 2 | 2 | flat packshot | yes | TOD'S | NONE | City Gommino Loafe[cropped] Suede | Brown | Suede | CHF610 | layout=centred; title cropped at right edge; "View 4 colors"; carousel 6 dots
B079-P001 | shoes | lace-bow ballet flats | smooth leather | solid | 1 | 2 | flat packshot | yes | shop-jamiehaller.com | JAMIE HALLER | The High Vamp Ballet in Red | Red | Unlined Italian lambskin; A leather sole. | CHF 443.00 | layout=stacked; colour from title; "Handmade in Italy."; size row, 39.5 selected
B079-P002 | multiple | ballet flats and ankle boots grid | mixed | solid | 2 | 3 | listing grid | no | shop-jamiehaller.com | JAMIE HALLER | NONE | NONE | NONE | NONE | layout=grid; 4 tiles CHF443-753; "Bike Boot in Black" image looks dark brown
B079-P003 | multiple | boots, pumps and penny loafers grid | mixed | solid | 2 | 3 | listing grid | no | shop-jamiehaller.com | JAMIE HALLER | NONE | NONE | NONE | NONE | layout=grid; 4 tiles; Trap Pump in Oxblood Sold Out
B079-P004 | multiple | penny loafer and nylon sneakers grid | mixed | solid | 2 | 2 | listing grid | no | shop-jamiehaller.com | JAMIE HALLER | NONE | NONE | NONE | NONE | layout=grid; 4 tiles CHF526-585; Saccheto Sneaker 3 colours
B080-P001 | multiple | sneaker, wedge slide and pumps grid | mixed | mixed | 2 | 3 | listing grid | no | shop-jamiehaller.com | JAMIE HALLER | NONE | NONE | NONE | NONE | layout=grid; 4 tiles CHF585-631; python-print slide
B080-P002 | multiple | loafer mules, jazz slipper, penny loafer grid | mixed | solid | 2 | 2 | listing grid | no | shop-jamiehaller.com | JAMIE HALLER | NONE | NONE | NONE | NONE | layout=grid; 4 tiles CHF526-539; one tile title replaced by size row
B080-P003 | multiple | sandals, woven flats, heels, wedge slide grid | mixed | mixed | 1 | 3 | listing grid | no | shop-jamiehaller.com | JAMIE HALLER | NONE | NONE | NONE | NONE | layout=grid; 4 tiles; Kit Slide Sold Out; zebra-print heel
B080-P004 | multiple | clog, jutti slippers, kitten-heel pump grid | mixed | mixed | 2 | 2 | listing grid | no | shop-jamiehaller.com | JAMIE HALLER | NONE | NONE | NONE | NONE | layout=grid; 4 tiles CHF419-753; zebra ponyhair pump
