image,colour_hex,colour_name,colour_family,colour_role,colour_share,chromatic,slot,n_match,n_near,best_delta_e,match_ids,near_ids
content/swipe/fashion shows ss27/IMG_0036.png,392917,espresso,brown,dominant,0.35,True,layer,34,58,1.0,B021-P027;B027-P008;B021-P002;B012-P001;B030-P009;B028-P002;B042-P015;B040-P003,B043-P001;B055-P011;B060-P003;B061-P002;B001-P001;B009-P001;B041-P005;B042-P035
content/swipe/fashion shows ss27/IMG_0036.png,392917,espresso,brown,dominant,0.35,True,top,39,43,4.2,B028-P012;B053-P003;B026-P010;B055-P002;B059-P004;B007-P003;B031-P002;B052-P001,B042-P009;B031-P008;B039-P002;B031-P007;B021-P005;B057-P003;B021-P023;B028-P007
content/swipe/fashion shows ss27/IMG_0036.png,392917,espresso,brown,dominant,0.35,True,bottom,5,26,8.2,B020-P003;B020-P004;B050-P003;B021-P011;B021-P015,B020-P001;B052-P006;B042-P022;B041-P003;B021-P010;B019-P001;B015-P002;B018-P002
content/swipe/fashion shows ss27/IMG_0036.png,392917,espresso,brown,dominant,0.35,True,dress,4,6,6.4,B041-P007;B042-P010;B041-P006;B033-P004,B042-P031;B042-P014;B041-P002;B042-P030;B042-P021;B042-P011
content/swipe/fashion shows ss27/IMG_0036.png,392917,espresso,brown,dominant,0.35,True,shoes,5,3,6.3,B029-P002;B039-P003;B055-P001;B001-P004;B009-P004,B037-P004;B053-P001;B062-P017
content/swipe/fashion shows ss27/IMG_0036.png,392917,espresso,brown,dominant,0.35,True,bag,3,3,5.3,B054-P003;B043-P005;B056-P004,B053-P004;B053-P005;B043-P006
content/swipe/fashion shows ss27/IMG_0036.png,392917,espresso,brown,dominant,0.35,True,accessory,2,8,9.7,B031-P009;B032-P001,B025-P008;B021-P001;B055-P003;B021-P009;B019-P002;B031-P001;B037-P009;B020-P006
content/swipe/fashion shows ss27/IMG_0036.png,392917,espresso,brown,dominant,0.35,True,base,3,2,7.9,B003-P001;B062-P008;B062-P007,B005-P001;B002-P001
content/swipe/fashion shows ss27/IMG_0036.png,392917,espresso,brown,dominant,0.35,True,multiple,47,58,4.3,B021-P026;B036-P001;B049-P003;B022-P021;B023-P006;B042-P007;B024-P002;B056-P006,B020-P002;B033-P005;B028-P010;B036-P003;B044-P006;B044-P005;B046-P004;B023-P002
content/swipe/fashion shows ss27/IMG_0036.png,5B4528,chocolate,brown,secondary,0.295,True,layer,15,34,2.4,B054-P007;B021-P002;B012-P001;B021-P014;B040-P002;B041-P005;B040-P003;B030-P010,B042-P017;B027-P008;B030-P009;B028-P002;B038-P001;B027-P005;B028-P001;B059-P001
