B011-P006 | layer | single-breasted lightweight coat | smooth matte woven | solid | 2 | 2 | flat packshot | yes | aspesi.com | NONE | NONE | NAVY | NONE | NONE | zoomed colour swatch row, three colourways, size row XXS-L
B011-P007 | top | long-sleeve button-front shirt | crisp plain weave | solid | 1 | 2 | flat packshot | yes | ASPESI | ASPESI | CAMICIA MOD.5422 IN LINO | BIANCO | NONE | €240,00 | on-model shot below packshot; Composizione accordion collapsed
B011-P008 | top | long-sleeve button-front shirt | fine plain weave | solid | 1 | 2 | flat packshot | yes | aspesi.com | ASPESI | NONE | NONE | NONE | NONE | image lightbox 1/4 with thumbnail strip; brand on collar label
B012-P001 | layer | padded nylon shirt jacket | glossy nylon | solid | 3 | 2 | flat packshot | yes | ASPESI | ASPESI | GIACCA CAMICIA GLUE | MILITARE | in nylon leggero con imbottitura Thermore media | €290,00 | four colourway swatches; on-model shot below
B012-P002 | layer | padded nylon shirt jacket | glossy nylon | solid | 3 | 2 | flat packshot | no | aspesi.com | NONE | GIACCA CAMICIA GLUE | NERO | in nylon leggero | €290,00 | zoomed page, packshot cropped at left, four colourway swatches
B012-P003 | top | classic cotton poplin shirt | poplin | solid | 1 | 2 | flat packshot | yes | ASPESI | ASPESI | CAMICIA IN POPELINE DI COTONE | AZZURRO | in popeline di cotone | €250,00 | two colourway swatches; sizes 34 and 48 struck through
B012-P004 | layer | hooded padded nylon jacket | matte nylon | solid | 3 | 2 | flat packshot | yes | aspesi.com | NONE | NONE | NONE | NONE | NONE | image lightbox 1/4 with thumbnail strip below
B013-P001 | layer | double-breasted belted wool trench coat | gabardine twill | solid | 3 | 3 | flat packshot | yes | ASPESI | ASPESI | TRENCH DOPPIO PETTO IN GABARDINE DI LANA VERGINE | BARBERA | in pregiata gabardine di pura lana vergine e foderato in morbida saglia di viscosa | €1.100,00 | on-model shot below; sizes 34, 46, 48 struck through
B014-P001 | top | boat-neck merino knit jumper | fine jersey knit | solid | 2 | 2 | flat packshot | yes | ASPESI | ASPESI | MAGLIA CON SCOLLO A BARCHETTA IN LANA MERINO | BARBERA | in lana merino con lavorazione rasata | €250,00 | three colourway swatches; sizes 44, 46, 48 struck through
B015-P001 | bottom | flared technical-fabric midi skirt | taffeta-look technical woven | solid | 2 | 3 | flat packshot | yes | ASPESI | ASPESI | GONNA SVASATA IN TESSUTO TECNICO | BLU NERO | in poliestere tecnico | €310,00 | three colourway swatches; XXS, XL, XXL struck through
B015-P002 | bottom | pleated check modal maxi skirt | plisse pleated fine woven | check | 1 | 3 | on model | yes | ASPESI | ASPESI | GONNA LUNGA PLISSE IN MODAL CON MOTIVO CHECK | BLU | in tessuto modal dalla mano fluida | €850,00 | rear on-model view plus close detail; Shop the look below
B015-P003 | layer | padded technical-fabric jacket | glossy technical woven | solid | 3 | 2 | flat packshot | yes | ASPESI | ASPESI | GIACCA IN TESSUTO TECNICO IMBOTTITA CON OVATTA THERMORE® | ZUCCA | in resistente poliestere tecnico e imbottita con ovatta Thermore® | €490,00 | four colourway swatches; XXS, S, XL, XXL struck through
B015-P004 | bottom | wide-leg smooth velvet trousers | smooth velvet | solid | 2 | 2 | flat packshot | yes | ASPESI | ASPESI | PANTALONE AMPIO IN VELLUTO LISCIO | PANNA | in velluto liscio di cotone tinto in capo | €340,00 | four colourway swatches; sizes 46 and 48 struck through
