B025-P007 | multiple | listing grid of sweatshirts, jeans and jackets | brushed fleece and denim | mixed | 2 | 1 | listing grid | no | merzbschwanen.com | Merz b. Schwanen | NONE | NONE | NONE | NONE | nine tiles with CHF prices, RESTOCK/UNISEX badges, colour swatch rows
B025-P008 | accessory | knitted triangle scarf | fine knit | solid | 2 | 2 | flat packshot | yes | merzbschwanen.com | Merz b. Schwanen | MEDIUM SIZE MERINO-CASHMERE-SILK TRIANGLE SCARF | Rosewood | extrafeiner Kaschmir, echte Seide und weiche Merinowolle | CHF 125.00 | printed COLOR 39 - Rosewood, swatch row of nine, code SKTS01.39.0
B026-P001 | multiple | listing grid of jeans and t-shirts | denim and cotton jersey | solid | 2 | 1 | listing grid | no | armedangels.com | NONE | NONE | NONE | NONE | NONE | mono-brand site, only URL armedangels.com legible, no wordmark; TENCEL badge
B026-P002 | multiple | listing grid knitwear, jeans, check shirt, coat | brushed mohair knit, denim, check flannel | mixed | 2 | 1 | listing grid | no | armedangels.com | NONE | NONE | NONE | NONE | NONE | MOHAIR and NEU badges; per-tile titles and CHF prices legible
B026-P003 | multiple | listing grid coat, check shirt, trousers, hoodie | felted wool, check flannel, twill | mixed | 3 | 2 | listing grid | no | armedangels.com | NONE | NONE | NONE | NONE | NONE | tiles include DOPPELREIHIGER WOLLMANTEL CHF 499.00; NEU and TENCEL badges
B026-P004 | multiple | listing grid fleece, knit, cord skirt, jeans | fleece, bouclé knit, corduroy, denim | mixed | 2 | 1 | listing grid | no | armedangels.com | NONE | NONE | NONE | NONE | NONE | CORD, TENCEL and NEU badges; tile prices CHF 109.00 to CHF 169.00
B026-P005 | multiple | listing grid cord skirt, jeans, knit scarf, t-shirt | corduroy, denim, marl knit, jersey | mixed | 2 | 1 | listing grid | no | armedangels.com | NONE | NONE | NONE | NONE | NONE | tiles include BRUSHED MOULINÉ-STRICKSCHAL CHF 99.00; TENCEL and NEU badges
B026-P006 | multiple | listing grid wool jacket, ribbed knit, jeans | felted wool, ribbed knit, denim, check | mixed | 3 | 2 | listing grid | no | armedangels.com | NONE | NONE | NONE | NONE | NONE | tiles include MAJELAA WOLLJACKE CHF 429.00 and KARIERTE WOLL-JACKET CHF 499.00
B026-P007 | multiple | listing grid cord pinafore dress, fleece gilet, trousers | corduroy, fleece, check twill | mixed | 2 | 1 | listing grid | no | armedangels.com | NONE | NONE | NONE | NONE | NONE | CORD badge; tiles include CORD-MINI-KLEID MIT RUNDHALS CHF 149.00
B026-P008 | multiple | listing grid underwear, t-shirts and tank top | smooth jersey, ribbed jersey, denim | solid | 1 | 1 | listing grid | no | armedangels.com | NONE | NONE | NONE | NONE | NONE | 5 FÜR -15%, 3 FÜR -10%, TENCEL and BELIEBT badges on tiles
B026-P009 | base | high waist briefs | smooth jersey | solid | 1 | 1 | on model | yes | armedangels.com | NONE | BIRTAA HIGH WAIST SLIP TENCEL™ MODAL MIX | Velvet Ember | TENCEL™ MODAL MIX | CHF 29.00 | swatch row of seven colours, sizes XS-XXL, 227 Bewertungen, TENCEL badge
B026-P010 | top | balloon-sleeve cotton shirt with stand collar | crisp poplin | solid | 1 | 3 | on model | yes | ch.officinegenerale.com | OFFICINE GÉNÉRALE | MAVA HEMD | WEISS | TEXTURIERTE WEISSE DOBBY-BAUMWOLLE | CHF 315 | two model images stacked; size XS shown; browser tab reads Mava He
B026-P011 | multiple | listing grid knit sweatshirt, knit dress, bag, boot | felted merino knit, smooth leather | solid | 3 | 2 | listing grid | no | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | tiles 590€ and 650€; header text names LEMAIRE Autumn/Winter 2026 women
B027-P001 | top | long-sleeve scarf-neck jersey top | fine jersey | solid | 1 | 2 | on model | no | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | carousel arrows visible; no product title, colour or price on screen
B027-P002 | top | long-sleeve scarf-neck jersey top | fine jersey | solid | 1 | 2 | on model | no | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | full-length look, hem tucked under handkerchief-hem skirt; no product text
B027-P003 | top | open-back scarf-neck jersey top | sheer fine jersey | solid | 1 | 2 | detail | no | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | close back view showing open-back cut-out; no product text on screen
B027-P004 | top | sheer top with scarf-tie neck | sheer mesh jersey | solid | 1 | 2 | flat packshot | yes | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | flat lay on white; no product title, colour or price visible
B027-P005 | layer | reversible buttoned cardigan | fine cashmere knit | solid | 2 | 3 | on model | yes | lemaire.fr | LEMAIRE | REVERSIBLE BUTTONED SWEATER IN CASHMERE | Stone | Cashmere | 790€ | two colour swatches plus +1; price sits in the SELECT SIZE bar
B027-P006 | layer | reversible buttoned cardigan | fine cashmere knit | solid | 2 | 3 | on model | yes | lemaire.fr | LEMAIRE | REVERSIBLE BUTTONED SWEATER IN CASHMERE | Stone | Cashmere | 790€ | worn reverse side out, buttons hidden; full-length shot, model head cropped
B027-P007 | layer | reversible buttoned cardigan | fine cashmere knit | solid | 2 | 3 | flat packshot | yes | lemaire.fr | LEMAIRE | REVERSIBLE BUTTONED SWEATER IN CASHMERE | NONE | Cashmere | NONE | colour name and price cut off at bottom edge; carousel dots visible
B027-P008 | layer | buttoned crew-neck cardigan | fine knit | solid | 2 | 3 | on model | yes | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | second colourway shown, pale yellow; no product text on screen
B027-P009 | multiple | listing grid bag, belt, wool jacket, leather shirt | smooth leather, felted wool | solid | 2 | 3 | listing grid | no | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | tiles 480€ to 1,290€; four titles fully legible above the fold
B027-P010 | multiple | listing grid duffle coat, trousers, bag, slipper | double wool, grained leather, twill | solid | 3 | 2 | listing grid | no | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | tiles 480€ to 1,390€; slipper title printed as COW LEAHER
B027-P011 | multiple | listing grid leather blouson, knit, trousers, bag | shiny leather, ribbed knit, twill | solid | 3 | 2 | listing grid | no | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | tiles 550€ to 2,850€; PILOT BLOUSON tile shows shearling collar
B028-P001 | layer | leather bomber with shearling collar | smooth shiny leather | solid | 4 | 2 | on model | no | lemaire.fr | LEMAIRE | PILOT BLOUSON IN SHINY COW LEATHER | NONE | NONE | NONE | three-quarter view, front partly turned away; price and colour below fold
B028-P002 | layer | leather bomber with shearling collar | smooth shiny leather | solid | 4 | 2 | on model | yes | lemaire.fr | LEMAIRE | PILOT BLOUSON IN SHINY COW LEATHER | NONE | NONE | NONE | back view; carousel dots visible; colour and price below the fold
B028-P003 | layer | belted wool coat with stand collar | felted wool | solid | 4 | 3 | on model | no | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | full look, green fur bag covers part of coat; printed knee boots
B028-P004 | layer | belted wrap coat with stand collar | felted wool | solid | 4 | 3 | on model | yes | lemaire.fr | LEMAIRE | SHAPED WRAP COAT IN FELTED WOOL ALPACA | Black | Felted wool alpaca | 1,690€ | two colour swatches; model head cropped; printed boots below hem
B028-P005 | layer | belted wrap coat with stand collar | felted wool | solid | 4 | 3 | flat packshot | yes | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | flat lay on white; browser tab truncated to SHAPED so title not fully legible
