B091-P001 | layer | suede bomber jacket, ribbed collar and hems | suede-look | solid | 3 | 2 | flat packshot | yes | armastore.com | ARMA | Elysia / Gritty Suede Bomber Jacket | Soil | NONE | CHF 710.00 | layout=centred; swatch row; viewing pass from a contact sheet, text by OCR; the slash stands for the vertical bar printed on the page
B091-P002 | layer | cropped suede shirt jacket | suede-look | solid | 3 | 2 | flat packshot | yes | armastore.com | ARMA | Emy / Suede Classic Jacket | Soil | NONE | CHF 550.00 | layout=centred; swatches=6; viewing pass from a contact sheet, text by OCR; the slash stands for the vertical bar printed on the page
B091-P003 | layer | cropped suede shirt jacket | suede-look | solid | 3 | 2 | flat packshot | yes | armastore.com | ARMA | Emy / Suede Classic Jacket | Dark olive | NONE | CHF 550.00 | layout=centred; swatches=5; viewing pass from a contact sheet, text by OCR; the slash stands for the vertical bar printed on the page
B091-P004 | layer | cropped suede shirt jacket | suede-look | solid | 3 | 2 | flat packshot | yes | armastore.com | ARMA | Emy / Suede Classic Jacket | Mud brown | NONE | CHF 550.00 | layout=centred; swatches=5; viewing pass from a contact sheet, text by OCR; the slash stands for the vertical bar printed on the page
B091-P005 | layer | leather bomber jacket | smooth leather | solid | 3 | 2 | flat packshot | yes | armastore.com | ARMA | Melis / Leather Bomber Jacket | Coffee bean | NONE | CHF 790.00 | layout=centred; viewing pass from a contact sheet, text by OCR; the slash stands for the vertical bar printed on the page
B092-P001 | layer | cinched-waist faux fur jacket | faux fur | solid | 3 | 2 | on model | yes | studio-ar.nl | STUDIO AR | NONE | NONE | NONE | NONE | back view on model, no text on the page; viewing pass from a contact sheet; likely duplicate of the FRANKIE jacket B092-P002 seen from the back, not merged
B092-P002 | layer | cinched-waist faux fur jacket | faux fur | solid | 3 | 2 | flat packshot | yes | studio-ar.nl | STUDIO AR | FRANKIE Cinched-Waist Faux fur Jacket | Olive | NONE | €379,95 | swatches=2; second screenshot is a model in a darker colourway; viewing pass from a contact sheet, text by OCR
B092-P003 | layer | cinched-waist faux fur jacket | faux fur | solid | 3 | 2 | flat packshot | yes | studio-ar.nl | STUDIO AR | FRANKIE Cinched-Waist Faux fur Jacket | Dark Grey | NONE | €379,95 | swatches=2; viewing pass from a contact sheet, text by OCR
B092-P004 | layer | suede bomber jacket, flap pockets | suede-look | solid | 3 | 2 | flat packshot | yes | studio-ar.nl | STUDIO AR | WILLOW Suede Bomber Jacket | Velvet Brown | NONE | €299,95 | viewing pass from a contact sheet, text by OCR
B092-P005 | layer | suede bomber jacket | suede-look | solid | 3 | 2 | on model | yes | studio-ar.nl | STUDIO AR | NONE | NONE | NONE | NONE | back view on a model, no text on the page; looks like the WILLOW bomber (B092-P004); viewing pass from a contact sheet
B092-P006 | layer | teddy jacket with collar | teddy / bouclé | solid | 3 | 2 | flat packshot | yes | studio-ar.nl | STUDIO AR | MAYA Teddy Wool Jacket | Camel | NONE | €299,95 | swatches=2; viewing pass from a contact sheet, text by OCR
B092-P007 | bag | faux fur shoulder bag, leather handles | faux fur | solid | 2 | 2 | flat packshot | yes | studio-ar.nl | STUDIO AR | NONE | NONE | NONE | €99,95 | name line too small to read on the contact sheet; price by OCR
B092-P008 | accessory | faux fur bucket hat | faux fur | solid | 2 | 1 | flat packshot | yes | studio-ar.nl | STUDIO AR | BEAU Faux Fur Hat | Choco | NONE | €49,95 | swatches=4; three further screenshots are a model in long coats; viewing pass from a contact sheet, text by OCR
B092-P009 | layer | long belted faux fur coat | faux fur | solid | 4 | 2 | flat packshot | yes | studio-ar.nl | STUDIO AR | NONE | NONE | NONE | NONE | no text on the page; viewing pass from a contact sheet
B092-P010 | accessory | faux fur pull-through scarf | faux fur | solid | 2 | 1 | flat packshot | yes | studio-ar.nl | STUDIO AR | JEMMA Faux Fur Scarf | Choco | NONE | €79,95 | swatches=3; viewing pass from a contact sheet, text by OCR
B093-P001 | layer | suede shirt jacket | suede-look | solid | 3 | 2 | flat packshot | yes | farfetch.com | NONE | NONE | NONE | NONE | NONE | lightbox on a multi-brand retailer; a label is sewn in but not legible on the contact sheet; likely duplicate: the tan suede shirt jacket looks like ARMA Emy Suede Classic Jacket (B091-P002 to B091-P004), not merged
