B020-P001 | bottom | wide-leg tailored trousers | smooth wool suiting | solid | 2 | 3 | on model | yes | barenavenezia.com | BARENA VENEZIA | Trousers Nini Flan Nero | NONE | NONE | NONE | name read from Safari tab; Translate page prompt overlays header
B020-P002 | multiple | listing grid of womens trousers | unclear | mixed | 2 | 3 | listing grid | no | barenavenezia.com | BARENA VENEZIA | NONE | NONE | NONE | NONE | nine tiles with names and prices; bottom row cropped; one SOLD OUT
B020-P003 | bottom | wide-leg pleated flannel trousers | flannel | solid | 3 | 3 | flat packshot | yes | massimoalba.com | massimo alba | KARLY Virgin Wool Trousers | Dark Grey | Virgin Wool | €680 | size row 36-48; lookbook shot below shows houndstooth jacket
B020-P004 | bottom | wide-leg pleated flannel trousers | flannel | solid | 3 | 3 | on model | yes | massimoalba.com | massimo alba | KARLY Virgin Wool Trousers | Dark Grey | Virgin Wool | €680 | back view plus waistband detail crop below; size row visible
B020-P005 | multiple | listing grid of skirt blouse jacket belt | mixed | mixed | 2 | 2 | listing grid | no | massimoalba.com | NONE | NONE | NONE | NONE | NONE | tiles KARLY TOLOSA RENE' YVONNE with prices and descriptions
B020-P006 | accessory | printed square bandana scarf | fine printed woven | print | 1 | 2 | flat packshot | yes | massimoalba.com | NONE | BANDANA Cashmere And Silk Bandana | Tibetan Red | Cashmere And Silk | €210 | four colour swatches; flat square view below knotted view
B021-P001 | accessory | printed square bandana scarf | fine printed woven | print | 1 | 2 | flat packshot | yes | massimoalba.com | massimo alba | BANDANA Cashmere And Silk Bandana | Dark Blue | Cashmere And Silk | €210 | four colour swatches; flat square view below knotted view
B021-P002 | layer | double-breasted corduroy jacket | corduroy | solid | 3 | 3 | flat packshot | yes | massimoalba.com | massimo alba | CARLOTTA2 Cotton Corduroy Double-Breasted Jacket | Taupe | Cotton Corduroy | €945 | size row XXS-XXL; on-model crop below with mustard bandana
B021-P003 | bottom | wide-leg pleated trousers | smooth wool twill | solid | 2 | 3 | on model | yes | massimoalba.com | NONE | LAMIA Virgin Wool Trousers | Blu | Virgin Wool | €585 | back view plus waistband detail crop; two colour swatches
B021-P004 | top | crew-neck zigzag pattern sweater | chunky knit | mixed | 3 | 2 | flat packshot | yes | massimoalba.com | massimo alba | JULIET Wool And Alpaca Sweater | Baby | Wool And Alpaca | €690 | on-model view below; size row XXS-XXL
B021-P005 | top | relaxed button-down shirt | soft brushed cotton | solid | 1 | 2 | on model | yes | massimoalba.com | massimo alba | ANNA Cotton And Cashmere Shirt | Faded Rose | Cotton And Cashmere | €355 | front and back on-model views; size row XXS-XXL
