B087-P008 | accessory | ribbed knit balaclava hood with tie | ribbed knit | solid | 3 | 1 | flat packshot | yes | tricot | tricot | WOOL AND CASHMERE BALACLAVA | DARK NAVY | WOOL AND CASHMERE | €120 | layout=centred; swatches=3; brand from own-label shop wordmark; "Made in Venice"; size TU
B088-P001 | top | cropped heavy-knit turtleneck sweater | chunky knit | solid | 3 | 2 | on model | no | extreme cashmere x | extreme cashmere x | n°434 crop xtra | moor | cashmere | chf 1,048.00 | layout=centred; swatches=17; brand from shop wordmark; thumbnails row; cookie banner
B088-P002 | top | cropped heavy-knit turtleneck sweater | chunky knit | solid | 3 | 2 | on model | no | extreme cashmere x | extreme cashmere x | n°434 crop xtra | moor | cashmere | chf 1,048.00 | layout=centred; swatches=17; label says moor but yellow-green colourway shown
B088-P003 | top | polo-collar heavy-knit sweater | chunky knit | solid | 3 | 2 | on model | no | extreme cashmere x | extreme cashmere x | n°513 jo | rosa | 100% cashmere | chf 855.00 | layout=centred; swatches=7; brand from shop wordmark; cookie banner
B088-P004 | top | classic crewneck knit sweater | fine knit | solid | 2 | 2 | on model | no | extreme cashmere x | extreme cashmere x | n°430 jeanne | hemlock | cashmere | chf 579.00 | layout=centred; swatches=9; description says medium-weight cashmere
B088-P005 | accessory | triangle knit scarf | knit | solid | 2 | 2 | on model | no | extreme cashmere x | extreme cashmere x | n°150 witch | hunter | cashmere | chf 331.00 | layout=centred; swatches=16; label hunter but olive swatch selected/shown
B088-P006 | accessory | triangle knit scarf | knit | solid | 2 | 2 | on model | no | extreme cashmere x | extreme cashmere x | n°150 witch | rosa | cashmere | chf 331.00 | layout=centred; swatches=16; second colourway of witch scarf; cookie banner
B088-P007 | accessory | triangle knit scarf | knit | solid | 2 | 2 | on model | no | extreme cashmere x | extreme cashmere x | n°150 witch | hemlock | cashmere | chf 331.00 | layout=centred; swatches=16; third colourway of witch scarf
B088-P008 | accessory | triangle knit scarf | knit | solid | 2 | 2 | on model | no | extreme cashmere x | extreme cashmere x | n°150 witch | mermaid | cashmere | chf 331.00 | layout=centred; swatches=16; fourth colourway; lifestyle shot, scarf cropped at bottom
B088-P009 | bag | small leather bucket bag with clasp | pebbled leather | solid | 2 | 3 | flat packshot | yes | LONGCHAMP | LONGCHAMP | BEUTELTASCHE XS LE SMART | Olivgrün | Leder | CHF 490,00 | layout=centred; swatches=4; brand from shop wordmark; German-language page
B089-P001 | bag | small rounded leather hobo handbag | pebbled leather | solid | 2 | 3 | flat packshot | yes | LONGCHAMP | LONGCHAMP | HANDTASCHE S LE FOULONNÉ | Kaffee | Leder | CHF 590,00 | layout=centred; swatches=5; +2 more colours; LONGCHAMP debossed on bag
B089-P002 | bag | small rounded leather hobo handbag | pebbled leather | solid | 2 | 3 | flat packshot | yes | LONGCHAMP | LONGCHAMP | HANDTASCHE S LE FOULONNÉ | Taupe | Leder | CHF 590,00 | layout=centred; swatches=5; +2 more colours; second colourway of B089-P001
B089-P003 | accessory | square printed silk bandana scarf | silk twill | print | 1 | 2 | flat packshot | yes | longchamp.com | NONE | SEIDENSCHAL 50 FRENCH BANDANA | Tundra | Seide | CHF 110,00 | layout=centred; swatches=4; shop from URL bar only; paisley bandana print
B090-P001 | accessory | square printed silk bandana scarf | silk twill | print | 1 | 2 | flat packshot | yes | LONGCHAMP | LONGCHAMP | SEIDENSCHAL 50 FRENCH BANDANA | Welle | Seide | CHF 110,00 | layout=centred; swatches=4; second colourway of B089-P003
B090-P002 | accessory | square printed silk scarf, clover motif | silk twill | print | 1 | 2 | flat packshot | yes | longchamp.com | LONGCHAMP | SEIDENSCHAL 70 PORTE-BONHEUR LONGCHAMP | Distel | Seide | CHF 145,00 | layout=centred; swatches=3; brand printed on scarf and in title
B090-P003 | multiple | drawstring leather-look tote bags | smooth leather-look | solid | 2 | 2 | listing grid | no | TORY BURCH | TORY BURCH | Ella natuura™ Drawstring Tote; Ella Nylon Drawstring Tote; Small Ella natuura™ Drawstring Tote | NONE | Nylon; Bio-based + Recycled Materials | $395; $295 | layout=grid; swatch dots per tile; top row cropped; brand from wordmark
B090-P004 | multiple | suede bucket bags and totes | suede-look | solid | 2 | 2 | listing grid | no | TORY BURCH | TORY BURCH | Large Fleming Suede Tote; Large Fleming Tote; Romy Suede Bucket Bag | NONE | Suede | $795; $395 | layout=grid; swatch dots per tile; top and bottom rows cropped
