B053-P001 | shoes | pointed-toe lizard-embossed leather mule | embossed leather | solid | 2 | 3 | flat packshot | yes | ullajohnson.com | NONE | Carlyle Mule | Bisque | NONE | CHF 585 | colour swatch row of three colourways below title
B053-P002 | multiple | listing grid of tops, vest, knit jacket and skirt | brushed knit | solid | 3 | 2 | listing grid | no | rachelcomey.com | RACHEL COMEY | Mata Top / Otto Vest / Liesel Jacket / Ludwig Skirt | NONE | NONE | CHF 479 / CHF 449 / CHF 605 / CHF 505 | listing grid, cookie banner over lower rows
B053-P003 | top | long-sleeve collared button-front blouse | silky crepe | solid | 1 | 3 | on model | yes | rachelcomey.com | NONE | NONE | NONE | NONE | NONE | full-look image, lightbox view; trousers are check
B053-P004 | bag | curved leather shoulder bag | smooth leather | solid | 2 | 3 | flat packshot | yes | jilsander.com | JIL SANDER | Kante Shoulder | black | NONE | 1850CHF | RUNWAY label; three colour swatches; browser tabs visible
B053-P005 | bag | curved leather shoulder bag | smooth leather | solid | 2 | 3 | on model | yes | jilsander.com | JIL SANDER | NONE | black | NONE | 1850CHF | price partly cropped at top of scrolled page
B053-P006 | layer | oversized long stand-collar wool coat | melton wool | solid | 4 | 3 | on model | yes | jilsander.com | JIL SANDER | Double Wool Coat | fog | NONE | 5280CHF | RUNWAY label; one colour swatch; browser tabs visible
B054-P001 | layer | oversized long stand-collar wool coat | melton wool | solid | 4 | 3 | on model | no | jilsander.com | JIL SANDER | NONE | fog | NONE | NONE | back view, hem cropped; price cropped at top
B054-P002 | layer | oversized long stand-collar wool coat | melton wool | solid | 4 | 3 | flat packshot | yes | jilsander.com | JIL SANDER | NONE | fog | NONE | NONE | packshot front view; price cropped at top of page
B054-P003 | bag | rectangular suede shoulder bag | suede-look | solid | 2 | 3 | flat packshot | yes | jilsander.com | JIL SANDER | Linea Shoulder | walnut | NONE | 1800CHF | one colour swatch shown
B054-P004 | top | ribbed cap-sleeve fitted knit top | ribbed knit | solid | 2 | 3 | on model | yes | jilsander.com | JIL SANDER | Wool Knit Top | dark grey | NONE | 1010CHF | one colour swatch; browser tabs visible
B054-P005 | top | ribbed cap-sleeve waist-cutout knit top | ribbed knit | solid | 2 | 3 | flat packshot | yes | jilsander.com | JIL SANDER | NONE | dark grey | NONE | NONE | JIL SANDER neck label visible; price cropped off top
B054-P006 | layer | collared wool twill coat, collar detail | wool twill | solid | 3 | 3 | detail | no | ch.loropiana.com | Loro Piana | NONE | NONE | NONE | NONE | close-up of collar and button over dark green roll-neck
B054-P007 | layer | belted raglan wool trench coat | wool twill | solid | 4 | 3 | flat packshot | yes | ch.loropiana.com | Loro Piana | NONE | NONE | NONE | NONE | Loro Piana lining label visible at neck; Add to Cart bar
B055-P001 | shoes | knee-high flat suede riding boots | suede-look | solid | 3 | 2 | flat packshot | yes | ch.loropiana.com | Loro Piana | NONE | NONE | NONE | NONE | tab title partly reads "Kilda Boo"; Add to Cart bar
B055-P002 | top | oversized V-neck merino jumper | compact knit | solid | 3 | 2 | on model | no | sezane.com | SÉZANE | PULL THÉO | TAUPE GREIGE | Pull en laine mérinos à manches longues | 185 CHF | cropped on-model shot; RWS and 100% naturel badges
B055-P003 | accessory | fringed wool twill bandana scarf | fine twill | print | 1 | 2 | on model | yes | sezane.com | SÉZANE | FOULARD MARYSE | BANDANA ÉCRU MARINE | Grand carré en twill de laine | 55 CHF | translate-page prompt overlays URL bar; thumbnail row
B055-P004 | top | oversized long-sleeve denim shirt | denim | solid | 2 | 2 | on model | yes | sezane.com | SÉZANE | CHEMISE MAX | BLEU MOYEN | NONE | 110 CHF | OEKO-TEX badge; size row 32-48; thumbnail row
B055-P005 | top | roll-neck knitted jumper | fine knit | solid | 3 | 2 | on model | yes | cos.com | COS | NONE | Dark purple | NONE | NONE | three colourway packshots below: Dark purple, Black, Grey mélange
B055-P006 | top | crew-neck chunky knit jumper | chunky knit | solid | 3 | 2 | on model | yes | cos.com | COS | NONE | Black | NONE | NONE | NEW tag; colourways Black, Cobalt blue, Cream shown below
B055-P007 | layer | boiled wool-blend bomber jacket | boiled wool | solid | 3 | 2 | on model | yes | cos.com | COS | BOILED WOOL-BLEND BOMBER JACKET | Charcoal mélange | BOILED WOOL-BLEND | 180 CHF | NEW tag; worn with matching flared mini skirt
B055-P008 | layer | belted double-faced long coat | double-faced wool | solid | 4 | 3 | on model | yes | cos.com | COS | Belted double-faced wool-blend long coat | NONE | wool-blend | 400 CHF | single-column listing view; RUNWAY tile below
B055-P009 | layer | belted double-faced long coat | double-faced wool | solid | 4 | 3 | on model | yes | cos.com | COS | Belted double-faced wool-blend long coat | NONE | wool-blend | 400 CHF | side view, belt hanging loose; single-column listing view
B055-P010 | layer | tailored double-breasted floor-length coat | wool melton | solid | 4 | 4 | on model | yes | cos.com | COS | TAILORED WOOL-BLEND DOUBLE-BREASTED COAT | Black | WOOL-BLEND | 430 CHF | RUNWAY-NEW tags; +1 colour indicator
B055-P011 | layer | tailored double-breasted floor-length coat | wool melton | solid | 4 | 4 | on model | yes | cos.com | COS | TAILORED WOOL-BLEND DOUBLE-BREASTED COAT | Black | WOOL-BLEND | 430 CHF | black-and-white campaign image; RUNWAY-NEW tags
B055-P012 | layer | tailored double-breasted floor-length coat | wool melton | solid | 4 | 4 | on model | no | cos.com | COS | TAILORED WOOL-BLEND DOUBLE-BREASTED COAT | Black | WOOL-BLEND | 430 CHF | four models in coats, hems cropped; RUNWAY-NEW tags
B055-P013 | top | funnel-neck chunky knit jumper | chunky knit | solid | 3 | 2 | on model | yes | cos.com | COS | NONE | Purple | NONE | NONE | NEW tag; colourways Purple, Navy, Light-grey mélange below
B055-P014 | layer | double-breasted tailored blazer | wool flannel | solid | 3 | 4 | on model | yes | cos.com | COS | Wool-blend double-breasted blazer | NONE | Wool-blend | 250 CHF | matching trousers and spotted silk scarf; listing view
B056-P001 | bottom | flared tailored wool trousers | wool flannel | solid | 3 | 3 | on model | yes | cos.com | COS | WOOL-BLEND FLARED TROUSERS | Navy | WOOL-BLEND | 180 CHF | NEW tag; styled with matching blazer and zip-neck knit
B056-P002 | layer | double-breasted peplum blazer | smooth suiting | solid | 3 | 4 | on model | yes | cos.com | COS | DOUBLE-BREASTED PEPLUM BLAZER | Black | NONE | 250 CHF | NEW tag; worn over dark denim
