B060-P005 | layer | hooded utility parka | cotton twill | solid | 3 | 2 | on model | yes | uniqlo.com | UNIQLO | Utility Cotton Blend Parka | 57 OLIVE | NONE | 59,90 € | colour swatch row of four; burgundy colourway shown in second image
B060-P006 | layer | fleece-lined stand collar blouson | smooth nylon | solid | 3 | 2 | on model | yes | uniqlo.com | UNIQLO | Fleece Lined Stand Blouson | 55 GREEN | NONE | 59,90 € | unisex, designed on women's sizing; three colour swatches
B061-P001 | layer | fleece-lined stand collar blouson | smooth nylon | solid | 3 | 2 | flat packshot | yes | uniqlo.com | UNIQLO | Fleece Lined Stand Blouson | 55 GREEN | NONE | 59,90 € | three colourways stacked; navy and beige partly overlapped
B061-P002 | layer | quilted hooded down parka | smooth nylon | solid | 4 | 2 | on model | yes | uniqlo.com | UNIQLO | Seamless Down Parka | 62 BLUE | NONE | 149,90 € | cream colourway shown in second image; four colour swatches
B061-P003 | layer | quilted hooded down parka | smooth nylon | solid | 4 | 2 | flat packshot | no | uniqlo.com | UNIQLO | Seamless Down Parka | 36 BROWN | NONE | 149,90 € | four colourways on a rail, each partly overlapped
B061-P004 | layer | windproof stand collar blouson | smooth nylon | solid | 2 | 2 | flat packshot | no | uniqlo.com | UNIQLO | Windproof Stand Collar Blouson | 32 BEIGE | NONE | 59,90 € | four colourways overlapping; beige selected one partly hidden
B061-P005 | top | long-sleeve fitted t-shirt | fine jersey | solid | 1 | 1 | flat packshot | no | uniqlo.com | UNIQLO | Mini T-Shirt (Long Sleeve) | 32 BEIGE | NONE | 19,90 € | seven colourways overlapping; "New Colour" label on page
B062-P001 | top | ribbed henley long sleeve t-shirt | ribbed knit | solid | 2 | 1 | on model | no | uniqlo.com | UNIQLO | Ribbed Henley Neck Long Sleeve T-Shirt | 61 BLUE | NONE | 19,90 € | hem tucked into jeans in both shots; eight colour swatches
B062-P002 | top | hooded henley long sleeve t-shirt | ribbed knit | marl | 2 | 1 | on model | yes | uniqlo.com | UNIQLO | Hoodie T-Shirt (Long Sleeve) | 03 GREY | NONE | 19,90 € | six colour swatches visible
B062-P003 | top | hooded henley long sleeve t-shirt | ribbed knit | marl | 2 | 1 | flat packshot | yes | uniqlo.com | UNIQLO | Hoodie T-Shirt (Long Sleeve) | 03 GREY | NONE | 19,90 € | six colourways flat-laid; ribbed hem detail crop below
B062-P004 | top | hooded henley long sleeve t-shirt | ribbed knit | marl | 2 | 1 | flat packshot | yes | uniqlo.com | UNIQLO | Hoodie T-Shirt (Long Sleeve) | 03 GREY | NONE | 19,90 € | page shows Product ID: 488298 and "Soft ribbed fabric with a fluid drape."
B062-P005 | top | long-sleeve ribbed t-shirt | ribbed knit | solid | 2 | 1 | on model | no | uniqlo.com | UNIQLO | Soft Ribbed T-Shirt (Long Sleeve) | 27 ORANGE | NONE | 19,90 € | hem tucked into trousers; cream colourway in second image
B062-P006 | top | long-sleeve ribbed t-shirt | ribbed knit | solid | 2 | 1 | flat packshot | yes | uniqlo.com | UNIQLO | Soft Ribbed T-Shirt (Long Sleeve) | 27 ORANGE | NONE | 19,90 € | cream garment shown though ORANGE selected; composition accordion collapsed
B062-P007 | base | fine-knit turtleneck long sleeve top | fine knit jersey | solid | 2 | 2 | on model | no | uniqlo.com | UNIQLO | HEATTECH Extra Warm Cashmere Blend Turtleneck T-Shirt (Long Sleeve) | 10 PINK | NONE | 24,90 € | UNIQLO :C logo on image; fibre appears only inside product title
B062-P008 | base | fine-knit turtleneck long sleeve top | fine knit jersey | solid | 2 | 2 | detail | no | uniqlo.com | UNIQLO | HEATTECH Extra Warm Cashmere Blend Turtleneck T-Shirt (Long Sleeve) | 10 PINK | NONE | 24,90 € | cropped row of colourways plus close fabric detail; 14 colour swatches
B062-P009 | top | short-sleeve cropped fitted t-shirt | fine jersey | solid | 1 | 1 | on model | yes | uniqlo.com | UNIQLO | Mini T-Shirt | 18 WINE | NONE | 14,90 € | second brown colourway in lower image; some sizes crossed out
B062-P010 | top | short-sleeve cropped fitted t-shirt | fine jersey | solid | 1 | 1 | flat packshot | yes | uniqlo.com | UNIQLO | Mini T-Shirt | 18 WINE | NONE | 14,90 € | nine colourways flat-laid; paused video still below
B062-P011 | top | short-sleeve cropped fitted t-shirt | fine jersey | solid | 1 | 1 | flat packshot | yes | uniqlo.com | UNIQLO | Mini T-Shirt | 18 WINE | Cotton blend fabric with a smooth, natural texture. | 14,90 € | brown garment shown though WINE selected; Product ID: 483455
B062-P012 | top | short-sleeve crew neck t-shirt | fine jersey | solid | 1 | 1 | flat packshot | no | uniqlo.com | UNIQLO | Crew Neck T-Shirt | 32 BEIGE | NONE | 14,90 € | twelve colourways shown folded; UNIQLO U wordmark on lower image
B062-P013 | top | half-zip sweatshirt pullover | brushed sweatshirt fleece | marl | 3 | 1 | flat packshot | yes | uniqlo.com | UNIQLO | Sweat Half-Zip Pullover | 03 GREY | Crisp yet supple cotton blend material. Smooth and comfortable polyester on the inside. | 34,90 € | Product ID: 491119; browser tab reads "Hoodies,"
B062-P014 | layer | full-zip stand collar active jacket | smooth technical jersey | solid | 2 | 1 | on model | yes | uniqlo.com | UNIQLO | Ultra Stretch Active Full-Zip Jacket | 68 BLUE | NONE | 34,90 € | grey shown on model though BLUE selected; burgundy packshot below
B062-P015 | top | crew neck sweatshirt | brushed fleece-back jersey | solid | 3 | 1 | on model | yes | uniqlo.com | UNIQLO | Sweatshirt | 08 DARK GREY | NONE | 34,90 € | nine colourways on a rail below; unisex, men's sizing
B062-P016 | top | crew neck sweatshirt | brushed fleece-back jersey | marl | 3 | 1 | flat packshot | yes | uniqlo.com | UNIQLO | Sweatshirt | 08 DARK GREY | NONE | 34,90 € | blue garment shown though DARK GREY selected; Product ID: 486117
B062-P017 | shoes | flat pointed ballerina pumps | suede-look | solid | 1 | 3 | on model | yes | www.sezane.com | Sézane | BALLERINAS LOW ROSALIE | NONE | NONE | NONE | German site nav (SCHUHE); price line cut off and overlaid, not legible
B062-P018 | multiple | slingback flats listing grid | patent leather and smooth leather | solid | 1 | 3 | listing grid | no | www.sezane.com | Sézane | BABYS LIVIE | NONE | NONE | 155 € | row above cut off: "BALLERINAS LOW ..." at 185 €; "+ 1 farbe"
B062-P019 | multiple | ankle boots listing grid | patent leather | solid | 2 | 3 | listing grid | no | www.sezane.com | Sézane | STIEFELETTEN GARANCE | NONE | NONE | 205 € | row above reads BABYS LOW STEFANIA 165 €; "+ 4 farben"
B062-P020 | multiple | flat sandals listing grid | smooth leather and woven leather | mixed | 1 | 3 | listing grid | no | www.sezane.com | Sézane | SANDALEN LOW JOSEPHA | NONE | NONE | 160 € | also SANDALEN LOW AUDREY 175 €, LOW IRIS 170 €, ENORA 215 €
