B071-P002 | multiple | knit jumpers listing grid | brushed knit | mixed | 3 | 2 | listing grid | no | careofcarl.ch | STONE ISLAND; HARLEY OF SCOTLAND; HARLEY OF SCOTLAND FOR CARE OF CARL | NONE | NONE | NONE | NONE | layout=grid; 9 full tiles, prices CHF 170-CHF 420, sizes shown; tab "Pullover bei Ca..."
B071-P003 | multiple | knit jumpers and cardigan listing grid | brushed knit | mixed | 3 | 2 | listing grid | no | careofcarl.ch | STONE ISLAND; HARLEY OF SCOTLAND; DRÔLE DE MONSIEUR | NONE | NONE | NONE | NONE | layout=grid; continuation of B071-P002 scroll; prices CHF 170-CHF 545
B071-P004 | multiple | knit jumpers listing grid incl. fairisle | brushed knit | mixed | 3 | 2 | listing grid | no | careofcarl.ch | HARLEY OF SCOTLAND; HARLEY OF SCOTLAND FOR CARE OF CARL; NN07; STONE ISLAND | NONE | NONE | NONE | NONE | layout=grid; continuation scroll; prices CHF 180-CHF 545; EXCLUSIVE and NEU badges
B071-P005 | multiple | knit jumpers and cardigans listing grid | brushed knit | solid | 3 | 2 | listing grid | no | careofcarl.ch | HARLEY OF SCOTLAND; HARLEY OF SCOTLAND FOR CARE OF CARL; NN07; STONE ISLAND | NONE | NONE | NONE | NONE | layout=grid; continuation scroll; prices CHF 180-CHF 545
B072-P001 | top | crew-neck flecked knit jumper | flecked knit | print | 3 | 2 | flat packshot | yes | johnstonsofelgin.com | NONE | NONE | NONE | NONE | NONE | layout=stacked; zoomed gallery, packshot above on-model photo; tab reads "Cairn Purple D..." (truncated)
B072-P002 | top | crew-neck flecked knit jumper | flecked knit | print | 3 | 2 | flat packshot | yes | Johnstons of Elgin | Johnstons of Elgin | Cairn Purple Donegal Cashmere Jumper | PURPLE | Donegal cashmere | CHF 769.00 | layout=other (packshot, thumbnails, details right); swatches=5 square, PURPLE; description says "Sloe Berry Donegal"
B072-P003 | top | crew-neck flecked knit jumper | flecked knit | print | 3 | 2 | flat packshot | yes | Johnstons of Elgin | Johnstons of Elgin | Cairn Grey Donegal Cashmere Jumper | GREY | Donegal cashmere | CHF 769.00 | layout=other (packshot, thumbnails, details right); swatches=5 square, GREY; description says "Cairngorm Donegal"; XL struck out
B072-P004 | layer | crew-neck button cardigan | fine knit | solid | 2 | 2 | flat packshot | yes | Johnstons of Elgin | Johnstons of Elgin | Iris Classic Blue Cashmere Cardigan | BLUE | woollen-spun cashmere | CHF 769.00 | layout=other (packshot, thumbnails, details right); swatches=14 square, BLUE; description says "Adelphi Blue"
B072-P005 | layer | crew-neck button cardigan | fine knit | solid | 2 | 2 | flat packshot | yes | Johnstons of Elgin | Johnstons of Elgin | Iris Classic Yellow Cashmere Cardigan | YELLOW | woollen-spun cashmere | CHF 769.00 | layout=other (packshot, thumbnails, details right); swatches=14 square, YELLOW; description says "Citron yellow"; XL struck out
B072-P006 | layer | crew-neck button cardigan | fine knit | solid | 2 | 2 | flat packshot | yes | Johnstons of Elgin | Johnstons of Elgin | Iris Classic Purple Cashmere Cardigan | PURPLE | woollen-spun cashmere | CHF 769.00 | layout=other (packshot, thumbnails, details right); swatches=14 square, PURPLE; description says "Wood Violet purple"; no XL
B072-P007 | layer | crew-neck button cardigan | fine knit | solid | 2 | 2 | flat packshot | yes | Johnstons of Elgin | Johnstons of Elgin | Iris Bottle Green Classic Cashmere Cardigan | BOTTLE GREEN | woollen-spun cashmere | CHF 769.00 | layout=other (packshot, thumbnails, details right); swatches=14 square, BOTTLE GREEN; M struck out
