B042-P028 | top | chunky knit turtleneck sweater | chunky knit | solid | 3 | 2 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | full-look shot; small monogram logo badge bottom right
B042-P029 | top | chunky knit turtleneck sweater | chunky knit | solid | 3 | 2 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | same sweater as previous frame, laid flat
B042-P030 | dress | strapless cocoon-hem maxi dress | smooth crepe | solid | 3 | 4 | on model | yes | toteme.com | TOTEME | NONE | NONE | NONE | NONE | TOTEME wordmark in site header; long chain necklace styled
B042-P031 | dress | strapless cocoon-hem midi dress | smooth crepe | solid | 3 | 4 | ghost mannequin | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | browser tab truncated to "Strapless"
B042-P032 | dress | strapless cocoon-hem maxi dress | smooth crepe | solid | 3 | 4 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | cream colourway of previous dress; model head cropped at top
B042-P033 | bottom | high-waist wide-leg tailored trousers | flannel | solid | 3 | 3 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | browser tab truncated to "High-wai"; styled with blazer and top
B042-P034 | layer | single-breasted leather blazer | smooth leather | solid | 3 | 3 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | styled over ribbed blouse with jeans and bag
B042-P035 | layer | short single-breasted leather blazer | smooth leather | solid | 3 | 3 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | -
B042-P036 | multiple | trousers, coat, leather blazer, blouse | leather, flannel, wool, ribbed knit | mixed | 3 | 3 | listing grid | no | toteme.com | NONE | High-waist flannel trousers; Hoodie coat grey melange; Short leather blazer black; Ribbed bow blouse ecru | NONE | NONE | 450 €; 1 060 €; 2 190 €; 360 € | colour counts "4 colors" and "2 colors" printed; tab truncated "Ready-to"
B042-P037 | layer | brushed wool overshirt jacket | brushed wool | solid | 3 | 3 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | worn cape-style over matching button-front knit skirt
B042-P038 | bottom | wide-leg elasticated trousers | smooth crepe | solid | 2 | 3 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | styled with long black scarf and fine knit top
B042-P039 | bottom | wide-leg elasticated lounge trousers | smooth crepe | solid | 2 | 3 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | browser tab truncated to "Lounge t"
B042-P040 | bottom | wide-leg curved-seam trousers | smooth crepe | solid | 2 | 3 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | styled with black crew-neck knit and flats
B042-P041 | bottom | wide-leg lounge trousers | smooth crepe | solid | 2 | 3 | detail | no | toteme.com | NONE | Lounge trousers rock | NONE | NONE | 390 € | three-swatch colour row; title ends "rock"; description says "cady"
B042-P042 | layer | marled chunky knit cocoon cardigan | marled chunky knit | marl | 4 | 2 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | styled with black wide-leg trousers and leather bag
B043-P001 | layer | double-breasted shawl-collar knit jacket | marled chunky knit | marl | 4 | 3 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | woven monogram label visible at back neck
B043-P002 | layer | double-breasted shawl-collar ribbed cardigan | ribbed knit | marl | 3 | 3 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | styled with white jeans and black leather bag
B043-P003 | layer | shawl-collar ribbed cardigan | ribbed knit | marl | 3 | 3 | detail | no | toteme.com | NONE | NONE | NONE | NONE | NONE | close crop; hem and sleeve ends run off frame
B043-P004 | layer | double-breasted shawl-collar ribbed cardigan | ribbed knit | solid | 3 | 3 | flat packshot | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | monogram label at neck; "Add to cart" button below image
B043-P005 | bag | snake-print flap shoulder bag | snake-embossed leather | print | 1 | 3 | on model | yes | toteme.com | NONE | NONE | NONE | NONE | NONE | browser tab truncated to "T-lock py"; "Add to cart" visible
B043-P006 | bag | snake-print flap clutch bag | snake-embossed leather | print | 1 | 3 | on model | no | toteme.com | NONE | NONE | NONE | NONE | NONE | carried as clutch; hand covers part of the flap
