path,folder,house,house_confidence,colour1_hex,colour1_name,colour1_family,colour1_share,colour1_role,colour1_sits,colour2_hex,colour2_name,colour2_family,colour2_share,colour2_role,colour2_sits,colour3_hex,colour3_name,colour3_family,colour3_share,colour3_role,colour3_sits,colour4_hex,colour4_name,colour4_family,colour4_share,colour4_role,colour4_sits,accent_sits,pattern,pattern_confidence,colour_story,colour_story_confidence,non_clothing_dominant_hex,non_clothing_dominant_name,frame_edge_colours,clothes_share,skin_share,background_share,colour_confidence,used_in
content/swipe/fashion shows ss27/IMG_0036.png,content/swipe/fashion shows ss27,,input needed,392917,espresso,brown,0.35,dominant,middle,5B4528,chocolate,brown,0.295,secondary,middle,996C2E,ochre,yellow,0.168,accent,upper,8A7554,tobacco,brown,0.096,accent,middle,ochre upper; tobacco middle,,input needed,"Mustard-tan and olive gold against petrol blue, black ground, narrow warm range",given,040404,black,080808;080828;080818,0.813,0.031,0.156,high,
content/swipe/fashion shows ss27/IMG_0059.jpeg,content/swipe/fashion shows ss27,,input needed,422D22,espresso,brown,0.333,dominant,upper,4A4944,taupe,warm neutral,0.301,secondary,lower,E2DAD0,cream,warm neutral,0.164,secondary,middle,88654A,tobacco,brown,0.105,accent,middle,tobacco middle,,input needed,,input needed,141414,black,181818;081818;C8B898,0.214,0.204,0.582,low,
content/swipe/fashion shows ss27/IMG_0060.jpeg,content/swipe/fashion shows ss27,,input needed,4B4744,taupe,warm neutral,0.532,dominant,lower,EBDFCD,cream,warm neutral,0.15,secondary,upper,3C2B25,espresso,brown,0.133,secondary,upper,7B7060,olive,green,0.116,secondary,middle,no accent,,input needed,,input needed,141414,black,181818;081818;B8B898,0.096,0.203,0.702,low,
content/swipe/fashion shows ss27/IMG_0061.jpeg,content/swipe/fashion shows ss27,,input needed,433734,taupe,warm neutral,0.474,dominant,middle,EBDECA,cream,warm neutral,0.15,accent,lower,CAB398,oatmeal,warm neutral,0.139,secondary,middle,6C5949,tobacco,brown,0.132,secondary,middle,cream lower,,input needed,"Near-black throughout with ivory hem and neckline flash, contrast only at edges",given,141414,black,181818;080818;081818,0.203,0.048,0.748,low,
content/swipe/fashion shows ss27/IMG_0150.png,content/swipe/fashion shows ss27,,input needed,0F0C11,black,black,0.572,dominant,middle,45373B,dark grey,grey,0.204,secondary,middle,2E1E21,oxblood,red,0.199,secondary,middle,,,,,,,no accent,,input needed,,input needed,FCFCFC,white,F8F8F8;887868;786868,0.78,0.066,0.154,high,
content/swipe/fashion shows ss27/IMG_0151.jpeg,content/swipe/fashion shows ss27,,input needed,382C31,oxblood,red,0.293,dominant,upper,1D161A,off-black,black,0.245,secondary,upper,52474D,dark grey,grey,0.241,secondary,middle,492919,espresso,brown,0.147,accent,lower,espresso lower,,input needed,,input needed,F4F4F4,white,F8F8F8;887878;E8E8E8,0.566,0.304,0.13,medium,
content/swipe/fashion shows ss27/IMG_0152.jpeg,content/swipe/fashion shows ss27,,input needed,191920,navy,blue,0.877,dominant,middle,918C92,mid grey,grey,0.054,secondary,lower,,,,,,,,,,,,,no accent,,input needed,,input needed,FCFCFC,white,786868;F8F8F8;786858,0.776,0.005,0.219,high,
content/swipe/fashion shows ss27/IMG_0153.jpeg,content/swipe/fashion shows ss27,,input needed,B6B0B3,light grey,grey,0.801,dominant,middle,968C8D,mid grey,grey,0.109,secondary,middle,D4CFD2,pale grey,cool neutral,0.09,secondary,middle,,,,,,,no accent,,input needed,"White on white on skin tones, pale pink petals underfoot, almost no contrast",given,6C645C,taupe,786868;686858;685858,0.71,0.05,0.24,high,
content/swipe/fashion shows ss27/IMG_0166.png,content/swipe/fashion shows ss27,,input needed,282520,black,black,0.93,dominant,middle,B1A094,oatmeal,warm neutral,0.04,secondary,middle,,,,,,,,,,,,,no accent,,input needed,"Black and washed grey with red belt flash and olive boots, cool with one hot accent",given,FCFCFC,white,787878;F8F8F8;888888,0.617,0.253,0.129,high,
content/swipe/fashion shows ss27/IMG_0802.png,content/swipe/fashion shows ss27,Vogue,given,C94342,brick,red,0.466,dominant,middle,AE3334,brick,red,0.371,secondary,middle,831D1E,rust,orange,0.106,accent,middle,,,,,,,rust middle,,input needed,,input needed,F4E4E4,off-white,E8D8D8;586878;F8E8E8,0.917,0.042,0.042,high,
