B023-P004 | multiple | grid of black dresses, trousers, knitwear | satin, jersey, chiffon, wool | mixed | 2 | 4 | listing grid | no | MaxMara | SPORTMAX | NONE | NONE | NONE | NONE | grid rows cropped; prices 919,00 € to 265,00 € shown
B023-P005 | multiple | grid of leather jackets, knits, trousers | smooth leather, ribbed knit, wool | mixed | 3 | 3 | listing grid | no | MaxMara | SPORTMAX | NONE | NONE | NONE | NONE | browser tab bar visible; several prices and 2 farben labels
B023-P006 | multiple | grid of coated jackets, satin dresses, jeans | coated cotton, satin, denim, nappa leather | mixed | 2 | 3 | listing grid | no | MaxMara | SPORTMAX | NONE | NONE | NONE | NONE | rows cropped top and bottom; prices 715,00 € to 265,00 €
B023-P007 | multiple | grid of puffer jacket, jeans, check shirt | nylon, denim, cable knit, check flannel | mixed | 3 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | AI-CREATED watermark on large image; CHF260.00 and CHF190.00 shown
B023-P008 | multiple | grid of puffer jacket, jeans, check shirt | nylon, denim, check flannel | mixed | 3 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | same page scrolled; AI-CREATED watermark; full-length puffer look
B023-P009 | multiple | grid of puffer, knits, jeans, shirt jacket | nylon, brushed wool knit, denim, cotton twill | mixed | 3 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | six captioned tiles, CHF150.00 to CHF420.00; bottom row cropped
B023-P010 | multiple | grid of cardigan, hoodie, jeans, sneakers | brushed mohair-look knit, denim, leopard-print leather | mixed | 3 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | AI-CREATED watermarks on two tiles; prices CHF200.00 to CHF480.00
B023-P011 | multiple | grid of corduroy trousers, shirt jacket, jumper | corduroy, check wool, marl knit | mixed | 3 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | AI-CREATED watermark; tab bar visible; CHF420.00 and CHF290.00
B023-P012 | layer | houndstooth wool overshirt jacket | brushed wool houndstooth | check | 3 | 2 | on model | yes | CLOSED | CLOSED | NONE | NONE | NONE | NONE | full-look shot, no caption; suede tote and dark jeans styled
B023-P013 | layer | houndstooth wool-blend shirt jacket | brushed wool houndstooth | check | 3 | 2 | on model | no | CLOSED | CLOSED | Wool-Blend Shirt Jacket | juniper green | Wool-Blend | CHF420.00 | product page; colour swatch and size row XXS-XL, some sizes unavailable
B023-P014 | multiple | grid of jeans, jumpers, coat, blouse | denim, wool knit, flannel, boucle | mixed | 3 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | AI-CREATED watermarks on two tiles; CHF190.00 to CHF340.00
B023-P015 | multiple | grid of knits, scarf, bag, blazer | marl knit, fair isle knit, smooth leather, wool | mixed | 3 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | tab bar visible; AI-CREATED watermark; CHF230.00 to CHF480.00
B023-P016 | multiple | grid of knits, flannel trousers, blouse, jeans | wool knit, flannel, poplin, denim | mixed | 2 | 2 | listing grid | no | CLOSED | CLOSED | NONE | NONE | NONE | NONE | AI-CREATED watermark; last row has one tile only, page end
