B056-P003 | layer | double-breasted peplum blazer | smooth woven suiting | solid | 2 | 4 | on model | yes | cos.com | COS | DOUBLE-BREASTED PEPLUM BLAZER | Black | NONE | 250 CHF | black-and-white campaign image; NEW flag; matching trousers and loafers
B056-P004 | bag | leather shoulder bag | smooth leather | solid | 2 | 3 | flat packshot | yes | cos.com | COS | Pavilion shoulder bag - leather | NONE | leather | 290 CHF | single tile on a listing page; fibre word only in title
B056-P005 | multiple | leather and nylon bags listing | nylon and leather | solid | 2 | 3 | listing grid | no | cos.com | COS | Swing crossbody bag - leather; Parquet clutch bag - eel-effect leather; Archive tote bag - nylon; Archive shoulder bag - nylon | NONE | leather; eel-effect leather; nylon | 165 CHF; 165 CHF; 85 CHF; 55 CHF | listing grid, top and bottom rows cropped; colour swatch dots shown
B056-P006 | multiple | leather and suede bags listing | smooth leather and suede | solid | 2 | 3 | listing grid | no | cos.com | COS | Montmartre bowling bag - leather; Townhouse shopper bag - leather; Plinth crossbody bag - leather; Knoll shoulder bag - suede | NONE | leather; suede | 210 CHF; 210 CHF; 180 CHF; 290 CHF | listing grid, rows cropped; swatch dots with "+2" more colours
B057-P001 | top | fine ribbed roll-neck long-sleeve top | fine ribbed knit | solid | 2 | 2 | on model | yes | cos.com | COS | NONE | Red | NONE | NONE | swatch row Red, Orange, Dark green, Purple; NEW flag; styled with leather skirt
B057-P002 | top | classic cotton-poplin shirt | poplin | solid | 1 | 3 | flat packshot | yes | cos.com | COS | CLASSIC COTTON-POPLIN SHIRT | White | COTTON-POPLIN | 85 CHF | collar detail shot alongside; NEW flag; fibre word only in title
B057-P003 | top | funnel-neck oversized shirt | fine twill | solid | 2 | 3 | on model | yes | cos.com | COS | FUNNEL-NECK LYOCELL-COTTON SHIRT | Mauve | LYOCELL-COTTON | 145 CHF | NEW flag; second cropped detail frame; fibre words only in title
B057-P004 | multiple | knit polo shirt and striped long-sleeve tee | fine knit and jersey | mixed | 2 | 2 | listing grid | no | cos.com | COS | Seamless merino wool shirt; Brushed-cotton long-sleeved t-shirt | NONE | merino wool; Brushed-cotton | 130 CHF; 55 CHF | TOPS listing page; further cropped rows below; swatch dots "+3"
B057-P005 | top | fine-knit crew-neck jumper | fine knit | marl | 2 | 2 | on model | yes | cos.com | COS | NONE | Brown mélange | NONE | NONE | runway video still with play button; RUNWAY-NEW flag; four swatches
B057-P006 | top | cashmere crew neck jumper | fine knit | solid | 3 | 2 | flat packshot | no | uniqlo.com | UNIQLO | 100% Cashmere Crew Neck Jumper | 10 PINK | 100% Cashmere | 89,90 € | folded multi-colour flat lay, jumpers cropped; 25-swatch colour grid
B058-P001 | layer | cashmere crew neck cardigan | fine knit | solid | 2 | 2 | flat packshot | yes | uniqlo.com | UNIQLO | 100% Cashmere Crew Neck Cardigan | 34 BROWN | 100% Cashmere | 149 € | COMPTOIR DES COTONNIERS badge overlaid; colour label BROWN but garment navy
B058-P002 | top | cashmere v-neck jumper | fine knit | solid | 3 | 2 | flat packshot | yes | uniqlo.com | UNIQLO | 100% Cashmere V Neck Jumper | 73 PURPLE | 100% Cashmere | 89,90 € | colour label PURPLE but garment shown beige; ten swatches
B058-P003 | top | cashmere turtleneck jumper | fine knit | solid | 3 | 2 | on model | yes | uniqlo.com | UNIQLO | 100% Cashmere Turtleneck Jumper | 01 OFF WHITE | 100% Cashmere | 99,90 € | colour label OFF WHITE but jumper shown beige; second model brown
B058-P004 | top | cashmere turtleneck jumper | fine knit | solid | 3 | 2 | flat packshot | yes | uniqlo.com | UNIQLO | 100% Cashmere Turtleneck Jumper | 01 OFF WHITE | 100% Cashmere | 99,90 € | colour label OFF WHITE but garment beige; cropped hand detail above
B058-P005 | layer | cashmere crew neck short cardigan | fine knit | solid | 2 | 2 | flat packshot | yes | uniqlo.com | UNIQLO | 100% Cashmere Crew Neck Short Cardigan | 12 PINK | 100% cashmere | 69,90 € | colour label PINK but garment grey; out of stock, NOTIFY ME
B058-P006 | top | cashmere high neck button jumper | fine knit | solid | 3 | 2 | on model | yes | uniqlo.com | UNIQLO | 100% Cashmere High Neck Button Jumper | 15 RED | 100% Cashmere | 149 € | COMPTOIR DES COTONNIERS badge overlaid; New flag; three swatches
B058-P007 | top | soufflé yarn crew neck jumper | brushed soft knit | solid | 3 | 2 | flat packshot | no | uniqlo.com | UNIQLO | Soufflé Yarn Crew Neck Jumper | 38 DARK BROWN | NONE | 39,90 € | multi-colour flat lay, jumpers overlapping and cropped; ten swatches
B059-P001 | layer | merino crew neck cardigan | fine knit | marl | 2 | 2 | on model | yes | uniqlo.com | UNIQLO | 100% Merino Crew Neck Cardigan | 32 BEIGE | 100% Merino | 39,90 € | colour label BEIGE but cardigan grey; knit and button detail below
B059-P002 | layer | merino crew neck cardigan | fine knit | marl | 2 | 2 | flat packshot | yes | uniqlo.com | UNIQLO | 100% Merino Crew Neck Cardigan | 32 BEIGE | 100% merino wool | 39,90 € | colour label BEIGE but cardigan grey; ten swatches; machine-washable note
B059-P003 | top | merino crew neck jumper | fine knit | solid | 2 | 2 | on model | yes | uniqlo.com | UNIQLO | 100% Merino Crew Neck Jumper | 55 GREEN | NONE | 39,90 € | second model in brown colourway below; eleven swatches
B059-P004 | top | merino crew neck jumper | fine knit | solid | 2 | 2 | flat packshot | no | uniqlo.com | UNIQLO | 100% Merino Crew Neck Jumper | 55 GREEN | NONE | 39,90 € | overlapping multi-colour flat lay, all but brown cropped; knit detail below
B059-P005 | top | merino crew neck jumper | fine knit | solid | 2 | 2 | flat packshot | yes | uniqlo.com | UNIQLO | 100% Merino Crew Neck Jumper | 55 GREEN | 100% Merino wool | 39,90 € | colour label GREEN but garment shown brown; 19.5 micron claim
B059-P006 | top | merino ribbed turtleneck jumper | ribbed knit | solid | 2 | 2 | on model | yes | uniqlo.com | UNIQLO | 100% Merino Ribbed Turtleneck Jumper | 15 RED | NONE | 39,90 € | twelve swatches; second brighter red colourway on model below
B059-P007 | top | merino ribbed turtleneck jumper | ribbed knit | solid | 2 | 2 | flat packshot | yes | uniqlo.com | UNIQLO | 100% Merino Ribbed Turtleneck Jumper | 15 RED | 100% smooth, 19.5-micron extra-fine Merino wool. | 39,90 € | knit close-up and machine-washable note below packshot
B059-P008 | top | merino-blend ribbed polo jumper | ribbed knit | solid | 2 | 2 | on model | yes | uniqlo.com | UNIQLO | 3D Knit Seamless Merino Blend Ribbed Polo Jumper | 14 RED | Merino Blend | 39,90 € | 3D KNIT logo on image; second dark grey colourway on model below
B060-P001 | top | merino-blend ribbed polo jumper | ribbed knit | solid | 2 | 2 | flat packshot | yes | uniqlo.com | UNIQLO | 3D Knit Seamless Merino Blend Ribbed Polo Jumper | 14 RED | Smooth Merino-blend fabric. | 39,90 € | colour label RED but garment shown tan; 3D KNIT logo on image
B060-P002 | layer | merino polo neck cardigan | fine knit | solid | 3 | 3 | on model | yes | uniqlo.com | UNIQLO | Merino Polo Neck Cardigan | 38 DARK BROWN | NONE | 99 € | COMPTOIR DES COTONNIERS badge overlaid; contrast navy ribbed hem and cuffs
B060-P003 | layer | hooded utility parka | cotton twill | solid | 3 | 1 | on model | yes | uniqlo.com | UNIQLO | Utility Cotton Blend Parka | 09 BLACK | NONE | 59,90 € | Best seller badge; colour label BLACK but parka shown burgundy
B060-P004 | layer | hooded utility parka | cotton twill | solid | 3 | 1 | flat packshot | yes | uniqlo.com | UNIQLO | Utility Cotton Blend Parka | 09 BLACK | Cotton blend outer fabric | 59,90 € | colour label BLACK but parka burgundy; striped shirt in cropped detail above
