product_id,colour,hex,old_family,old_name,new_family,new_name,L,C,h
B053-P002-C0,2,08225D,blue,navy,purple,aubergine,15.4,41.1,293.1
B053-P002-C1,1,0D1539,blue,navy,purple,aubergine,8.3,26.8,293.9
B053-P002-C1,2,252F63,blue,navy,purple,aubergine,21.3,34.9,292.8
B072-P005-cw04,1,27387D,blue,navy,purple,violet,26.0,44.9,293.1
B021-P014,3,D1A37E,brown,tan,orange,apricot,70.4,28.4,64.8
B042-P007-C1,3,B18561,brown,tan,orange,terracotta,59.0,28.7,64.7
B052-P003,1,A07450,brown,tan,orange,terracotta,52.4,29.6,64.2
B080-P001-C3,3,D5A57E,brown,tan,orange,apricot,71.3,29.8,65.0
B082-P001-I2-C1,3,AB7F5B,brown,tan,orange,terracotta,56.7,29.0,64.6
B022-P015-C2,1,5B2823,brown,chocolate,red,brick,23.2,27.1,32.1
B022-P016-C2,1,4C1D17,brown,espresso,red,oxblood,17.8,26.5,34.7
B022-P022-C0,1,4E1D16,brown,espresso,red,oxblood,18.2,27.8,35.8
B022-P022-C1,1,4C1D14,brown,espresso,red,oxblood,17.8,27.5,38.3
B022-P022-C2,1,53221D,brown,espresso,red,brick,20.3,26.6,32.8
B023-P014-C1,3,643529,brown,chocolate,red,brick,27.9,25.9,40.5
B025-P004-C1,1,401410,brown,espresso,red,oxblood,13.4,25.1,32.5
B042-P002-C1,1,562A1F,brown,chocolate,red,red,22.8,25.1,40.4
B045-P001,1,4B1E17,brown,espresso,red,oxblood,17.9,25.6,36.0
B045-P001-C4,1,55231B,brown,espresso,red,brick,20.9,27.9,36.3
B062-P020-C0,3,4E2016,brown,espresso,red,oxblood,18.8,26.9,39.4
B080-P001-I2-C1,1,53241A,brown,espresso,red,red,20.7,27.0,38.9
B080-P001-I1-C0,1,A27751,brown,tan,yellow,ochre,53.5,30.0,66.2
B073-P008-sw11,1,CFE9C9,cool neutral,pale grey,green,sage,89.7,19.2,138.5
B024-P005-I1-C5,2,F1C6DB,cool neutral,pale grey,pink,blush,84.1,19.2,345.9
B068-P009,1,ECB3CF,cool neutral,pale grey,pink,blush,78.8,25.7,346.3
B068-P036,1,EDB1CD,cool neutral,pale grey,pink,blush,78.4,26.6,347.9
B068-P066,1,EAB2CE,cool neutral,pale grey,pink,dusty rose,78.3,25.4,345.8
B058-P006-sw02,1,02544B,green,forest,blue,petrol,31.5,24.3,182.3
B058-P007-V2-sw09,1,3C736E,green,emerald,blue,teal,44.7,19.7,188.4
B061-P004,1,264740,green,forest,blue,petrol,27.5,14.1,178.3
B061-P004,3,3D7064,green,emerald,blue,teal,43.5,20.4,176.2
B027-P008,3,8B744C,green,olive,brown,tobacco,50.1,25.6,82.7
B039-P001,2,C1B792,green,sage,brown,tan,74.4,20.3,96.8
B039-P004-C0,3,645946,green,olive,brown,tobacco,38.4,12.7,84.7
B039-P004-I1-C1,1,827C63,green,olive,brown,tan,51.9,14.7,98.1
B039-P004-I1-C1,2,969079,green,sage,brown,tan,59.7,13.2,97.8
B039-P004-I1-C1,3,6E684F,green,olive,brown,tobacco,43.9,15.1,97.7
B042-P018,1,5F5C40,green,olive,brown,chocolate,38.7,17.0,102.7
B042-P018,2,747051,green,olive,brown,tobacco,46.8,18.2,102.0
B042-P019-C0,1,5C593E,green,olive,brown,chocolate,37.4,16.5,102.6
B042-P019-C0,2,726E50,green,olive,brown,tobacco,46.1,17.7,101.9
B045-P001-I2-C2,2,5C5942,green,olive,brown,chocolate,37.5,14.1,102.2
B045-P001-I2-C3,2,595741,green,olive,brown,chocolate,36.6,13.5,104.0
B054-P006,2,3B3422,green,olive,brown,espresso,21.9,12.5,90.6
B062-P012-V2,3,7C6A4A,green,olive,brown,tobacco,45.8,20.7,83.9
B065-P001,2,68583D,green,olive,brown,tobacco,38.3,18.2,82.8
B065-P007,1,6F5D3C,green,olive,brown,tobacco,40.5,21.8,83.8
B065-P007,2,524328,green,olive,brown,chocolate,29.3,18.9,83.0
B070-P012,1,474026,green,olive,brown,chocolate,27.1,17.0,94.7
B070-P014,1,7C722F,green,olive,brown,tobacco,47.7,38.0,97.7
B070-P014,3,5B5126,green,olive,brown,chocolate,34.5,26.6,94.7
B071-P002-C5,1,413C23,green,olive,brown,espresso,25.2,16.4,97.7
B077-P008,1,B8B59C,green,sage,brown,tan,73.3,13.5,103.9
B077-P008,2,A19D7F,green,sage,brown,tan,64.3,16.7,102.7
B077-P009,1,7A7660,green,olive,brown,tan,49.4,12.9,100.8
B077-P010,1,807C66,green,olive,brown,tan,51.8,12.8,100.9
B080-P009-C4,3,4F3910,green,olive,brown,chocolate,25.6,28.6,79.8
B080-P014,1,635D3E,green,olive,brown,tobacco,39.3,18.9,98.6
B080-P014-C2,1,595333,green,olive,brown,chocolate,35.1,19.8,98.4
B080-P014-C2,2,736E4C,green,olive,brown,tobacco,46.1,20.1,100.9
B080-P014-C2,3,423D23,green,olive,brown,espresso,25.6,17.0,97.9
B090-P004,1,473B21,green,olive,brown,chocolate,25.5,18.0,86.3
B090-P004,2,62573C,green,olive,brown,chocolate,37.4,17.3,89.9
B090-P004-C1,1,43381F,green,olive,brown,chocolate,24.1,17.4,87.1
B090-P004-C1,3,756A50,green,olive,brown,tobacco,45.2,16.2,90.1
B090-P008,2,644D25,green,olive,brown,chocolate,34.3,27.4,80.5
B090-P008-C1,2,614A23,green,olive,brown,chocolate,33.1,27.1,79.9
B090-P008-I1-C2,1,473B21,green,olive,brown,chocolate,25.5,18.0,86.3
B090-P008-I1-C2,2,5F5336,green,olive,brown,chocolate,35.8,18.8,89.1
B090-P008-I1-C3,1,615235,green,olive,brown,chocolate,35.7,19.4,85.0
B090-P008-I1-C3,2,42371E,green,olive,brown,chocolate,23.6,17.4,87.0
B022-P008,1,808FA5,grey,mid grey,blue,steel blue,58.9,13.4,268.2
B022-P009,2,8290AA,grey,mid grey,blue,steel blue,59.5,15.4,273.2
B025-P005,2,818592,grey,mid grey,blue,steel blue,55.6,7.6,279.6
B036-P005,1,898FA0,grey,mid grey,blue,steel blue,59.4,9.8,278.3
B062-P015,3,6788B4,grey,mid grey,blue,steel blue,55.9,26.8,270.2
B062-P016,1,6888B5,grey,mid grey,blue,steel blue,56.0,27.2,271.4
B022-P019-C5,1,4F2220,grey,dark grey,brown,espresso,19.7,23.8,28.6
B062-P006-sw05,1,644744,grey,dark grey,brown,chocolate,33.2,13.7,29.3
B080-P004-C1,1,532626,grey,dark grey,brown,espresso,21.5,23.1,25.0
B021-P012,2,9B6E79,grey,mid grey,pink,raspberry,51.3,19.6,3.1
B023-P002-C2,3,806165,grey,mid grey,pink,raspberry,44.3,13.5,11.1
B023-P003-C2,2,7F5F63,grey,mid grey,pink,raspberry,43.7,13.9,11.6
B057-P006-sw25,1,F78CA1,grey,light grey,pink,dusty rose,70.3,43.3,9.2
B066-P001-C9,2,A2767A,grey,mid grey,pink,dusty rose,54.1,18.4,14.5
B073-P008-sw04,1,FF98AD,grey,light grey,pink,dusty rose,74.0,41.3,8.1
B073-P009-sw06,1,826567,grey,mid grey,pink,raspberry,45.7,12.4,15.6
B080-P004-C1,3,805E61,grey,mid grey,pink,raspberry,43.4,14.8,14.6
B082-P001-I1-C2,3,9C737A,grey,mid grey,pink,dusty rose,52.7,17.4,8.2
B088-P001,3,9D7173,grey,mid grey,pink,dusty rose,52.1,18.6,18.1
B022-P015-C7,1,511F20,grey,dark grey,red,oxblood,19.4,26.0,25.1
B023-P002-C1,1,572424,grey,dark grey,red,oxblood,21.6,26.3,26.0
B023-P003-C1,1,582524,grey,dark grey,red,oxblood,22.0,26.4,27.2
B016-P002,2,9B4E31,orange,rust,brown,tobacco,42.2,43.2,46.7
B022-P007-C0,3,974A32,orange,rust,brown,tobacco,40.7,41.9,43.8
B022-P012-C1,1,582812,orange,rust,brown,chocolate,22.4,31.6,49.9
B022-P014-C6,1,572D14,orange,rust,brown,chocolate,23.5,29.5,54.9
B026-P005-C1,3,753E26,orange,rust,brown,chocolate,32.6,33.2,49.2
B047-P001-C1,2,914C23,orange,rust,brown,tobacco,40.1,44.5,54.6
B050-P001-I4-C2,1,76360D,orange,rust,brown,chocolate,30.7,44.4,54.9
B050-P002,3,53200B,orange,rust,brown,espresso,19.6,33.2,47.4
B051-P002,3,7C3B1E,orange,rust,brown,chocolate,32.9,40.0,49.4
B051-P004,3,AA6046,orange,rust,brown,tobacco,48.7,39.1,45.4
B052-P007-C5,3,A75E3C,orange,rust,brown,tobacco,47.7,41.7,50.4
B078-P005-C1,2,502512,orange,rust,brown,espresso,20.3,28.3,49.3
B078-P008-C4,1,773017,orange,rust,brown,chocolate,29.7,42.5,45.9
