B041-P008 | top | half-zip knitted sweater | fine knit | solid | 3 | 2 | on model | yes | studionicholson.com | NONE | NONE | NONE | NONE | £425 | Cream collar and grey trousers layered under; Apple Pay bar visible
B041-P009 | top | half-zip knit polo sweater | plain knit | solid | 3 | 2 | on model | no | studionicholson.com | NONE | Women's Knit Polo | NONE | NONE | £425 | Name taken from breadcrumb; left arm runs off frame edge
B042-P001 | top | half-zip knit sweater | fine knit | solid | 3 | 2 | flat packshot | yes | studionicholson.com | NONE | NONE | NONE | NONE | £425 | Laid flat, ribbed collar hem and cuffs; no product title on screen
B042-P002 | multiple | listing grid trench boot coat blouse | unclear | mixed | 3 | 3 | listing grid | no | gabrielahearst.com | GABRIELA HEARST | NONE | NONE | NONE | NONE | Several titles and euro prices printed; top and bottom rows cropped
B042-P003 | layer | single-breasted corduroy blazer | corduroy | solid | 3 | 3 | ghost mannequin | yes | gabrielahearst.com | GABRIELA HEARST | NONE | NONE | NONE | NONE | Neck label reads GABRIELA HEARST and MADE IN ITALY
B042-P004 | layer | corduroy blazer worn with trousers | corduroy | solid | 3 | 3 | on model | yes | gabrielahearst.com | GABRIELA HEARST | Leiva Blazer in Chocolate Cashmere Corduroy | NONE | NONE | €4.600 | Runway image; size row 34-44; fibre and colour named only inside title
B042-P005 | multiple | listing grid fringed jacket and shirt | unclear | mixed | 3 | 2 | listing grid | no | bode.com | BODE | NONE | NONE | NONE | NONE | Fall 2026 Men's New Arrivals; newsletter overlay covers lower row
B042-P006 | multiple | listing grid jacket trousers knit bag | unclear | mixed | 3 | 2 | listing grid | no | bode.com | BODE | NONE | NONE | NONE | NONE | Fall 2026 Women's New Arrivals; top and bottom rows cropped
B042-P007 | multiple | listing grid sweater tote coat tee | unclear | mixed | 3 | 2 | listing grid | no | bode.com | BODE | NONE | NONE | NONE | NONE | Four titles with euro prices; top row cropped; footer starting
B042-P008 | top | lace fringed sleeveless top | lace with long fringe | solid | 1 | 3 | flat packshot | yes | bode.com | BODE | Jules Top | NONE | NONE | €720,00 EUR | Hung on hanger on wood wall; carousel dots show five images
B042-P009 | top | sleeveless open-weave halter top | open crochet net | solid | 1 | 3 | on model | yes | diotima.world | diotīma | Title Top | Black | 100% Nylon | $795.00 USD | Size and Color selectors visible; page also prints Made in India
