B083-P012 | top | long-sleeve knit polo sweater | fine knit | solid | 2 | 2 | flat packshot | yes | tricot | tricot | CASHMERE POLO | BLACK | NONE | €320 | layout=centred; swatches=13; "Made in Venice"; fibre only in product name
B083-P013 | top | ribbed boat-neck knit sweater | ribbed knit | solid | 2 | 2 | flat packshot | yes | tricot | tricot | LIGHTWEIGHT CASHMERE BOAT NECK | PINK | NONE | €230 | layout=centred; swatches=3; "Made in Venice"; fibre only in product name
B083-P014 | layer | zip-up knit hoodie | fine knit | solid | 2 | 1 | flat packshot | yes | tricot | tricot | LIGHTWEIGHT CASHMERE HOODIE | DARK NAVY | NONE | €295 | layout=centred; swatches=3; "Made in Venice"; fibre only in product name
B083-P015 | layer | zip-up knit hoodie | fine knit | solid | 2 | 1 | flat packshot | yes | tricot | tricot | LIGHTWEIGHT CASHMERE HOODIE | KHAKI | NONE | €295 | layout=centred; swatches=3; second colourway of B083-P014
B084-P001 | layer | zip-up knit hoodie | fine knit | marl | 2 | 1 | flat packshot | yes | tricot | tricot | LIGHTWEIGHT CASHMERE HOODIE | LIGHT GRAY | NONE | €295 | layout=centred; swatches=3; third colourway of same hoodie
B084-P002 | top | raglan crewneck knit sweater | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | CASHMERE CREWNECK | PINK | NONE | €280 | layout=centred; swatches=17; "Made in Venice"; fibre only in product name
B084-P003 | top | raglan crewneck knit sweater | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | CASHMERE CREWNECK | WHITE | NONE | €280 | layout=centred; swatches=17; colourway of B084-P002
B084-P004 | top | raglan crewneck knit sweater | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | CASHMERE CREWNECK | SAND | NONE | €280 | layout=centred; swatches=17; colourway of B084-P002
B084-P005 | top | raglan crewneck knit sweater | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | TRICOT X SABAH CASHMERE CREWNECK | YELLOW LIME | NONE | €280 | layout=centred; swatches=17; collab label "tricot x Sabah"
B084-P006 | top | raglan crewneck knit sweater | knit | marl | 3 | 2 | flat packshot | yes | tricot | tricot | CASHMERE CREWNECK | HAVANA | NONE | €280 | layout=centred; swatches=17; colourway of B084-P002
B085-P001 | top | crewneck knit sweater | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | CASHMERE CREWNECK | BROWN | NONE | €280 | layout=centred; swatches=17; colourway of B084-P002
B085-P002 | top | raglan crewneck knit sweater | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | CASHMERE CREWNECK | RED | NONE | €280 | layout=centred; swatches=17; colourway of B084-P002
B085-P003 | top | raglan crewneck knit sweater, embroidered motif | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | TRICOT X LÉO WALK CREWNECK | LEO PURPLE | NONE | €280 | layout=centred; swatches=17; small tonal embroidery at hem; no fibre word in name
B085-P004 | top | raglan crewneck knit sweater | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | CASHMERE CREWNECK | INDIAN PINK | NONE | €280 | layout=centred; swatches=17; colourway of B084-P002
B085-P005 | top | raglan crewneck knit sweater, embroidered bird | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | TRICOT X NK CREWNECK | NINA BLUE | NONE | €280 | layout=centred; swatches=17; small bird embroidery at hem; no fibre word in name
B085-P006 | top | raglan crewneck knit sweater | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | CASHMERE CREWNECK | OCEAN | NONE | €280 | layout=centred; swatches=17; colourway of B084-P002
B085-P007 | top | raglan crewneck knit sweater | knit | marl | 3 | 2 | flat packshot | yes | tricot | tricot | CASHMERE CREWNECK | GRAY | NONE | €280 | layout=centred; swatches=17; colourway of B084-P002
B086-P001 | top | raglan crewneck knit sweater | knit | solid | 3 | 2 | flat packshot | yes | tricot | tricot | CASHMERE CREWNECK | DARK NAVY | NONE | €280 | layout=centred; swatches=17; colourway of B084-P002
B086-P002 | accessory | ribbed turn-up beanie | ribbed knit | solid | 2 | 1 | flat packshot | yes | tricot | tricot | CASHMERE HAT | KHAKI | NONE | €80 | layout=centred; swatches=5; no garment label visible, brand from site wordmark
B087-P001 | accessory | ribbed turn-up beanie | ribbed knit | solid | 2 | 1 | flat packshot | yes | tricot | tricot | CASHMERE HAT | RED | NONE | €80 | layout=centred; swatches=5; colourway of B086-P002
B087-P002 | accessory | ribbed turn-up beanie | ribbed knit | marl | 2 | 1 | flat packshot | yes | tricot | tricot | CASHMERE HAT | MARMOTTA | NONE | €80 | layout=centred; swatches=5; colourway of B086-P002
B087-P003 | accessory | ribbed turn-up beanie | ribbed knit | solid | 2 | 1 | flat packshot | yes | tricot | tricot | CASHMERE HAT | WHITE | NONE | €80 | layout=centred; swatches=5; hat shown enlarged, near frame edges
B087-P004 | accessory | ribbed knit scarf | ribbed knit | marl | 3 | 1 | flat packshot | yes | tricot | tricot | CASHMERE SCARF | SAND | NONE | €205 | layout=centred; swatches=3; scarf shown knotted
B087-P005 | accessory | ribbed knit scarf | ribbed knit | solid | 3 | 1 | flat packshot | yes | tricot | tricot | TRICOT X SABAH SCARF | BROWN | NONE | €205 | layout=centred; swatches=3; SOLD OUT; description names Sabah as shoe brand
B087-P006 | accessory | ribbed knit scarf | ribbed knit | solid | 3 | 1 | flat packshot | yes | tricot | tricot | TRICOT X SABAH SCARF | GREEN | NONE | €205 | layout=centred; swatches=3; colourway of B087-P005
B087-P007 | accessory | fringed knit bandana | brushed knit | solid | 2 | 1 | flat packshot | yes | tricot | tricot | TRICOT X GIL RODRIGUEZ BANDANA | PINK | NONE | €135 | layout=centred; swatches=4; frayed edges; shown knotted; no fibre word in name
