B031-P009 | accessory | knitted wool hood balaclava | felted wool knit | solid | 3 | 1 | flat packshot | yes | MARGARET HOWELL | MHL. | MHL. FELTED HOOD LAMBSWOOL | CHOCOLATE | fabricated in wool | CHF 97.90 | three colourway thumbnails, size OS, margarethowell.co.uk in URL bar
B032-P001 | accessory | knitted wool hood balaclava | felted wool knit | solid | 3 | 1 | flat packshot | yes | margarethowell.co.uk | MHL. | MHL. FELTED HOOD LAMBSWOOL | CHOCOLATE | fabricated in wool | CHF 97.90 | scrolled view, three colourway thumbnails, size OS
B032-P002 | top | crew neck wool jumper | wool knit with ribbed cuffs | solid | 3 | 2 | flat packshot | yes | margarethowell.co.uk | MHL. | MHL. CHUNKY SEAMLESS CREW NECK RUSTIC WOOL | CINNAMON | knitted in midweight dry wool | CHF 289.00 | two colourways, sizes XXS-X, cropped on-model shot above
B032-P003 | multiple | leather bomber, knit, corduroy trousers, bag | mixed | mixed | 3 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | French page with translate prompt, tile prices 1 200.00 EUR and 350.00 EUR
B032-P004 | top | knitted crew neck jumper | wool knit | marl | 3 | 2 | on model | no | A.P.C. | A.P.C. | PULL ANNA | BEIGE CHINE | Laine feutrée | 350.00 € | only sleeves in frame, four colour swatches, sizes XS-XL
B033-P001 | top | crew neck wool jumper | wool knit | solid | 3 | 2 | flat packshot | yes | A.P.C. | A.P.C. | PULL ANNA | ECRU | NONE | NONE | A.P.C. intarsia logo at hem, translate prompt open
B033-P002 | multiple | corduroy trousers, leather shoulder bag, knit, jacket | mixed | mixed | 2 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles JEAN CLYDE 290.00 EUR and SAC SIMONE SMALL 450.00 EUR marked Épuisé
B033-P003 | multiple | bomber, blue knit, cord jeans, pinafore dress | mixed | mixed | 2 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tile prices 350.00 EUR, 350.00 EUR, 290.00 EUR, 270.00 EUR
B033-P004 | dress | sleeveless pinafore shift dress | crisp plain weave | solid | 2 | 3 | on model | yes | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | striped shirt layered under, browser tab reads Robe cha, translate prompt
B033-P005 | multiple | ecru wide trousers, loafers, leather bag, shirt | mixed | mixed | 2 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles MOCASSINS EN CUIR VÉGÉTAL 350.00 EUR, SAC VIRGINIE FLAP 490.00 EUR
B034-P001 | multiple | navy fluid dress, grey knit vest, loafers, bag | mixed | mixed | 2 | 2 | listing grid | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | tiles ROBE FLUIDE BLEU MARINE 370.00 EUR and Laine recyclée. 230.00 EUR
B034-P002 | top | tie-neck long sleeve blouse | satin with tonal stripe | stripe | 1 | 3 | on model | no | A.P.C. | A.P.C. | NONE | NONE | NONE | NONE | full-width tile on collection page, hem tucked into jeans, head cropped
