B028-P006 | multiple | listing grid of coat, pants, bag, boots | leather, knit, wool | mixed | 3 | 3 | listing grid | no | lemaire.fr | NONE | NONE | NONE | NONE | NONE | grid rows: wrap coat, leather pants, croissant bag, ankle boots
B028-P007 | top | chunky ribbed high-neck sweater | ribbed knit | marl | 4 | 2 | on model | yes | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | full-look shot, dark trousers and boots also worn
B028-P008 | top | ribbed high-neck sweater | ribbed knit | marl | 4 | 2 | on model | yes | lemaire.fr | NONE | HIGH NECK SWEATER IN YAK ALPACA | Black / mink brown | Yak alpaca | 890€ | back view; two colour swatches plus +1 shown
B028-P009 | top | ribbed high-neck sweater | ribbed knit | marl | 4 | 2 | flat packshot | yes | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | same sweater as previous frame, laid flat
B028-P010 | multiple | listing grid of shirt, pants, bag, ring | leather, silk, metal | mixed | 2 | 3 | listing grid | no | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | LEMAIRE engraved on ring; prices 260€ to 790€ visible
B028-P011 | multiple | listing grid of bags, jacket, denim pants | smooth leather | mixed | 3 | 3 | listing grid | no | NONE | NONE | NONE | NONE | NONE | NONE | URL bar obscured; prices 490€ to 1,390€ visible
B028-P012 | top | chunky roll-neck sweater | ribbed knit | marl | 4 | 2 | detail | no | lemaire.fr | LEMAIRE | NONE | NONE | NONE | NONE | close crop on collar and shoulder; brown marl colourway
B028-P013 | top | long-sleeve button-up shirt | crinkled silk-look | solid | 1 | 3 | on model | yes | lemaire.fr | NONE | REGULAR SHIRT IN DRY SILK | Orchid | Dry silk | 720€ | two colour swatches plus +1; roll-neck worn underneath
B028-P014 | top | long-sleeve button-up shirt | crinkled silk-look | solid | 1 | 3 | flat packshot | yes | lemaire.fr | LEMAIRE | REGULAR SHIRT IN DRY SILK | NONE | NONE | NONE | LEMAIRE neck label legible; title partly cut at bottom edge
B029-P001 | top | long-sleeve button-up shirt | crinkled silk-look | solid | 1 | 3 | flat packshot | yes | lemaire.fr | LEMAIRE | REGULAR SHIRT IN DRY SILK | Toffee | Dry silk | NONE | LEMAIRE neck label legible; colour swatch row visible
B029-P002 | shoes | knee-high block-heel leather boots | smooth leather | solid | 3 | 3 | flat packshot | yes | lemaire.fr | NONE | CREASE SLEEVE BOOTS IN SOFT SHINY CALF LEATHER | Elephant | Soft shiny calf leather | 1,390€ | two colour swatches; estimated delivery date 21/09 printed
B030-P001 | top | short-sleeve fine-knit sweater | fine knit | marl | 1 | 2 | on model | yes | lemaire.fr | NONE | SHORT SLEEVE SWEATER IN FINE MERINO WOOL | Chai melange | Fine merino wool | NONE | two colour swatches plus +1 below title
