B063-P001 | multiple | ribbed and cable knit mock-neck sweaters | ribbed knit | solid | 3 | 2 | listing grid | no | shop.gransasso.it | NONE | Links stitch merinos crew neck; Half fisherman's rib mock neck | dark brown; white; black | pure wool | £200.00; £240.00 | layout=grid; 2-col grid, ghost-style renders; brand only in URL; items at edges cropped
B063-P002 | multiple | boat-neck knit sweaters | knit | solid | 2 | 2 | listing grid | no | Gran Sasso | Gran Sasso | Rice stitch boat neck; 3-ply merinos boat neck | light blue; white | alpaca and wool; pure wool | £210.00; £200.00 | layout=grid; tab reads "Gran Sasso. Knitwear"; one tile on model, lower row unlabelled
B063-P003 | multiple | boat-neck knit sweaters | knit | solid | 2 | 2 | listing grid | no | Gran Sasso | Gran Sasso | Rice stitch boat neck; 3-ply merinos boat neck | light blue; white; blue navy; black | alpaca and wool; pure wool | £210.00; £200.00 | layout=grid; tab reads "Gran Sasso. Knitwear"; bottom row unlabelled, cropped
B063-P004 | multiple | boat-neck knit sweaters | knit | solid | 2 | 2 | listing grid | no | Gran Sasso | Gran Sasso | Rice stitch boat neck; 3-ply merinos boat neck | dove-grey; petrol green; light blue; white | alpaca and wool; pure wool | £210.00; £200.00 | layout=grid; tab reads "Gran Sasso. Knitwear"; top and bottom tiles cropped
B063-P005 | multiple | ribbed and cable knit mock-neck sweaters | ribbed knit | solid | 3 | 2 | listing grid | no | shop.gransasso.it | NONE | Links stitch merinos crew neck; Half fisherman's rib mock neck | dark brown; white; black | pure wool | £200.00; £240.00 | layout=grid; brand only in URL; near-duplicate of B063-P001 scroll position
B063-P006 | multiple | ribbed cashmere mock-neck sweaters | ribbed knit | solid | 2 | 3 | listing grid | yes | Gran Sasso | Gran Sasso | Ribbed cashmere mock neck; Half fisherman's rib mock neck; Cabled mock neck | white; pistacio green; blue navy | pure cashmere; pure wool; cashmere blend | £260.00; £240.00; £300.00 | layout=grid; "pistacio green" label sits under a taupe-looking render; shows 48 / 58
B064-P001 | multiple | knit sweaters and cotton tops | fine knit | solid | 2 | 2 | listing grid | no | drumohr.com | Drumohr | Oversized Sweater; Crewneck Cotton Top; Crew Neck Cotton T-Shirt; Razor Blade Crew Neck Sweater In Cashmere; Cashmere Turtleneck; Virgin Wool 140'S Cape | NONE | NONE | US$428.00; US$304.00; US$264.00; US$473.00; US$534.00; US$430.00 | layout=grid; Drumohr wordmark in footer; top row cropped; page 1 of 3
B064-P002 | multiple | knit sweaters and knit gilet | knit | mixed | 3 | 2 | listing grid | no | drumohr.com | Drumohr | Crew Neck Sweater With Cable Knit In Merino Wool; Extrafine Merino Wool Gilet; Crew Neck Cashmere Sweater; Dolcevita Razor Blade In Cashmere; Oversized Dolcevita In Pure Wool; Merino Wool Turtleneck Sweater | NONE | NONE | US$394.00; US$219.00; US$551.00; US$636.00; US$253.00; US$422.00 | layout=grid; fibres appear only in product titles; one jacquard-pattern tile
B064-P003 | multiple | knit sweaters and turtlenecks | knit | solid | 3 | 2 | listing grid | no | drumohr.com | Drumohr | Dolcevita In Lambswool; Cashmere Turtleneck; Cashmere Crew Neck Sweater; Crew Neck Sweater In Lambswool; Women's V-Neck Cashmere Sweater With Geometric Jacquard Pattern | NONE | NONE | US$253.00; US$563.00; US$557.00; US$236.00; US$473.00; US$315.00 | layout=grid; fibres only in titles; page 2 of 3; top row cropped
B065-P001 | multiple | wrap cardigan and v-neck cardigan | fine knit | solid | 2 | 2 | listing grid | no | extreme cashmere | extreme cashmere | n°516 ella; n°511 dorothea | NONE | NONE | chf 634.00; chf 414.00 | layout=grid; on-model tiles; "6 colors" / "4 colors"; cookie banner covers lower row
B065-P002 | top | slim-fit crewneck sweater | fine knit | solid | 2 | 2 | on model | no | extreme cashmere | extreme cashmere | n°510 february | hemlock | 100% cashmere | chf 358.00 | layout=other (one model photo, info column); swatches=8 square hemlock; hem hidden by tied sweater
B065-P003 | top | relaxed-fit crewneck sweater | knit | solid | 3 | 2 | on model | no | extreme cashmere | extreme cashmere | n°431 mike | wheat | medium-weight cashmere | chf 771.00 | layout=other (one model photo, info column); swatches=8 square wheat; hands in pockets hide hem
B065-P004 | multiple | oversized crewneck sweaters | knit | solid | 3 | 2 | listing grid | no | extreme cashmere | extreme cashmere | n°458 mina; n°493 paolo | NONE | NONE | chf 1,074.00; chf 661.00 | layout=grid; on-model tiles; "3 colors" / "4 colors"; cookie banner covers lower row
B065-P005 | top | classic crewneck sweater | fine knit | solid | 2 | 2 | on model | no | extreme cashmere | extreme cashmere | n°475 march | navy | 100% cashmere | chf 469.00 | layout=other (one model photo, info column); swatches=11 square navy; some swatches struck through; described lightweight
B065-P006 | layer | crewneck button cardigan | fine knit | solid | 2 | 2 | on model | no | extreme cashmere | extreme cashmere | n°300 little 2 | hemlock | cashmere | chf 441.00 | layout=other (one model photo, info column); swatches=19 square hemlock; several struck through; buttons "corozo"
B065-P007 | layer | crewneck button cardigan | fine knit | solid | 2 | 2 | on model | no | extreme cashmere | extreme cashmere | n°300 little 2 | hemlock | cashmere | chf 441.00 | layout=other; swatches=19 square hemlock; photo shows olive colourway while hemlock (sage) selected — colour label may not match photo
B065-P008 | layer | crewneck button cardigan | fine knit | solid | 2 | 2 | on model | no | extreme cashmere | extreme cashmere | n°300 little 2 | hemlock | cashmere | chf 441.00 | layout=other; swatches=19 square hemlock; photo shows brown colourway while hemlock selected — colour label may not match photo
B066-P001 | multiple | cashmere knitwear, trousers and cardigans | knit | solid | 3 | 2 | listing grid | no | MYTHERESA | Extreme Cashmere | N°300 Little 2 cashmere cardigan; N°434 Crop Xtra cashmere sweater; N°451 Lisa cotton and cashmere T…; N°280 Bi cashmere-blend sweater (others truncated) | NONE | NONE | CHF 365; CHF 495; CHF 300; CHF 815; CHF 515; CHF 420; CHF 560; CHF 405; CHF 215; CHF 525 | layout=grid; 4-col packshot grid; many titles truncated with "…"; fibres only in titles
B066-P002 | multiple | cashmere sweaters, zip-ups and cardigans | knit | solid | 3 | 2 | listing grid | no | MYTHERESA | Extreme Cashmere | N°398 Jewel cashmere sweater; N°457 Jack cashmere-blend sweater; N°399 Flyer cashmere cardigan; N°280 Bi cashmere-blend sweater (others truncated) | NONE | NONE | CHF 325; CHF 645; CHF 745; CHF 945; CHF 405; CHF 910; CHF 280; CHF 855; CHF 560 | layout=grid; 4-col packshot grid; many titles truncated; fibres only in titles
