B100-P001 | bottom | midi slip skirt with side slit | crepe | solid | 1 | 2 | flat packshot | no | NONE | NONE | NONE | NONE | NONE | NONE | image only, no page chrome; waistband touches top edge
B101-P001 | top | oversized short-sleeve graphic print tee | washed jersey | print | 1 | 1 | flat packshot | yes | The Beatles Store (usastore.thebeatles.com) | NONE | Rubber Soul Black & Orange Distressed Tee | NONE | Composition: 100% Cotton, 180 GSM | $50.00 | Pre-order; on-model shots below; title says Black & Orange
B102-P001 | bottom | wide-leg tailored trousers | smooth woven suiting | solid | 2 | 3 | flat packshot | yes | YOOX | BRUNELLO CUCINELLI | CASUAL TROUSER | Charcoal | NONE | € 819 | RRP € 1.400 (-41%); sizes 42 IT, 44 IT; materials tab collapsed
B102-P002 | bottom | wide-leg flared tailored trousers | flannel | solid | 3 | 3 | flat packshot | yes | yoox.com | STELLA Mccartney | NONE | NONE | NONE | NONE | brand from truncated browser tab; image zoom view, 4 images
B102-P003 | bottom | high-waisted flared tailored trousers | fine wool-look suiting | stripe | 2 | 4 | ghost mannequin | yes | YOOX | STELLA MCCARTNEY | CASUAL TROUSER | Charcoal | NONE | NOW € 372 | Faint pinstripe; RRP € 857 (-56%); materials section collapsed
B102-P004 | bottom | straight-leg pressed-crease tailored trousers | smooth woven suiting | solid | 2 | 3 | flat packshot | yes | yoox.com | NONE | NONE | NONE | NONE | NONE | zoomed gallery image 1 of 4; no product text visible
B102-P005 | bottom | straight-leg tailored trousers | flannel | solid | 3 | 3 | flat packshot | yes | YOOX | OFFICINE GÉNÉRALE | CASUAL TROUSER | Grey | NONE | € 216 | RRP € 395 (-45%); size 40 IT only; materials section collapsed
B102-P006 | bottom | flared tweed-look trousers | tweed | marl | 3 | 3 | ghost mannequin | yes | YOOX | DEPARTMENT 5 | CASUAL TROUSER | Grey | NONE | NOW € 76 | Publication price € 111 (-31%); only size 42 IT; low stock
B103-P001 | bottom | high-waist flared bootcut trousers | denim | solid | 3 | 3 | flat packshot | yes | ch.akris.com | A-K-R-I-S | Bootcut Hose aus Ba | NONE | NONE | NONE | title only from truncated browser tab; shop is brand's own site
B103-P002 | bottom | bootcut stretch denim trousers | denim | solid | 3 | 2 | flat packshot | no | ch.akris.com | AKRIS | Bootcut Hose aus Baumwoll-Stretch-Denim | Black | Baumwoll-Stretch-Denim | CHF 725.00 | only lower legs visible; five-colourway swatch row; tag ESSENTIELL
B104-P001 | bottom | kick-flare jeans with patch pockets | denim | solid | 3 | 2 | flat packshot | yes | ME+EM (meandem.com) | ME+EM | NONE | NONE | NONE | NONE | Brand from site wordmark only; REF. AW26DJ140001946; fabric tab collapsed
B105-P001 | bottom | pintucked kick-flare knit trousers | smooth jersey knit | solid | 2 | 2 | on model | no | thereformation.com | NONE | Andy Knit Pant | NONE | NONE | NONE | title from browser tab; styled with leather tote, zebra flats
B106-P001 | bottom | wide-leg five-pocket jeans | denim | solid | 3 | 1 | flat packshot | yes | frame-store.com | FRAME | NONE | NONE | NONE | NONE | FRAME on waistband label; tab truncated "The Gray -- Cappucci"
B106-P002 | bottom | wide-leg five-pocket jeans | denim | solid | 3 | 2 | flat packshot | yes | frame-store.com | FRAME | The Gray -- Cappucci | NONE | NONE | NONE | Title truncated in browser tab; FRAME on waistband label; zoom view
B107-P001 | top | fine-knit turtleneck jumper | fine knit | marl | 2 | 3 | flat packshot | yes | FALCONERI | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Violett - 9881 - Traubenviolett stückgefärbt | Kaschmir | Fr. 328.00 | fibre word from title only; model shot alongside; 16 colour swatches
B107-P002 | top | fine-knit turtleneck jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Braun - 9877 - Holzbraun stückgefärbt | Kaschmir | Fr. 328.00 | on-model image beside packshot; 14-colour swatch row
B107-P003 | top | fine-knit turtleneck jumper | fine knit | solid | 2 | 3 | flat packshot | yes | FALCONERI (falconeri.com) | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Rot - 9878 - Kirschrot stückgefärbt | Kaschmir Ultrafine | Fr. 328.00 | Fibre only from product title; 15-colour swatch row; on-model shot too
B107-P004 | top | fine-knit turtleneck jumper | fine knit | solid | 2 | 3 | flat packshot | yes | FALCONERI | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Dunkelgrün - 9874 - Tiefes Waldgrün stückgefärbt | Kaschmir | Fr. 328.00 | fibre word from title only; second colourway of B107-P001
B107-P005 | top | fine-knit turtleneck jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Blau - 9876 - Mitternachtsblau stückgefärbt | Kaschmir | Fr. 328.00 | second colourway of same product; on-model image beside
B107-P006 | top | fine-knit turtleneck jumper | fine knit | marl | 2 | 3 | flat packshot | yes | FALCONERI (falconeri.com) | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Braun - 9279 - TORTORA MELANGE | Kaschmir Ultrafine | Fr. 328.00 | Second colourway of same product; fibre only from title; swatch row
B107-P007 | top | fine-knit turtleneck jumper | fine knit | solid | 2 | 3 | flat packshot | yes | FALCONERI | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Schwarz - 9107 | Kaschmir | Fr. 328.00 | fibre word from title only; another colourway of same product
B107-P008 | top | fine-knit turtleneck jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Blau - 9400 - Blu navy | Kaschmir | Fr. 328.00 | third colourway of same product; on-model image beside
B107-P009 | top | fine-knit turtleneck jumper | fine knit | marl | 2 | 3 | flat packshot | yes | FALCONERI (falconeri.com) | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Grau - 8984 - Grau meliert | Kaschmir Ultrafine | Fr. 328.00 | Third colourway of same product; fibre only from title; swatch row
B107-P010 | top | fine-knit turtleneck jumper | fine knit | marl | 2 | 3 | flat packshot | yes | FALCONERI | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Grau - 9108 - Dunkelgrau meliert | Kaschmir | Fr. 328.00 | fibre word from title only; another colourway of same product
B107-P011 | top | fine-knit turtleneck jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Braun - 9875 - Leinsamen stückgefärbt | Kaschmir | Fr. 328.00 | fourth colourway of same product; on-model image beside
B107-P012 | top | fine-knit turtleneck jumper | fine knit | marl | 2 | 3 | flat packshot | yes | FALCONERI (falconeri.com) | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Natürlich - 9215 - WEIZENGELB MELIERT | Kaschmir Ultrafine | Fr. 328.00 | Fourth colourway of same product; fibre only from title; swatch row
B107-P013 | top | fine-knit turtleneck jumper | fine knit | marl | 2 | 3 | flat packshot | yes | FALCONERI | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Natürlich - 9220 - SEILBRAUN MELIERT | Kaschmir | Fr. 328.00 | fibre word from title only; another colourway of same product
B107-P014 | top | fine-knit turtleneck jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Rollkragenpullover aus Kaschmir Ultrafine | Weiß - 8005 - Flockenweiß | Kaschmir | Fr. 328.00 | fifth colourway of same product; on-model image beside
B107-P015 | top | relaxed V-neck knit jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Pullover mit V-Aussc | NONE | NONE | NONE | Zoom view; title truncated in tab; neck-label fibre line too small
B107-P016 | top | relaxed V-neck jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Pullover mit V-Aussc | NONE | 100% PURO CASHMERE | NONE | title truncated tab; composition from tiny neck label, verify
B107-P017 | top | relaxed V-neck fine-knit jumper | fine knit | marl | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | NONE | NONE | brand on neck label; tab truncated "Pullover mit V-Aussc"
B107-P018 | top | relaxed V-neck knit jumper | fine knit | marl | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Pullover mit V-Aussc | NONE | NONE | NONE | Zoom view; title truncated in tab; neck-label fibre line too small
B107-P019 | top | relaxed V-neck jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Pullover mit V-Aussc | NONE | NONE | NONE | title truncated tab; neck label second line illegible; navy colourway
B107-P020 | top | relaxed V-neck fine-knit jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | NONE | NONE | brand on neck label; tab truncated "Pullover mit V-Aussc"
B107-P021 | top | relaxed V-neck knit jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Pullover mit V-Aussc | NONE | NONE | NONE | Zoom view; title truncated in tab; neck-label fibre line too small
B107-P022 | top | relaxed V-neck jumper | fine knit | marl | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Pullover mit V-Aussc | NONE | NONE | NONE | title truncated tab; neck label second line illegible; dusty rose colourway
B107-P023 | top | relaxed V-neck fine-knit jumper | fine knit | marl | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | NONE | NONE | brand on neck label; tab truncated "Pullover mit V-Aussc"
B107-P024 | top | relaxed V-neck knit jumper | fine knit | marl | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Pullover mit V-Aussc | NONE | NONE | NONE | Zoom view; translate popup; neck-label fibre line too small
B107-P025 | top | relaxed V-neck jumper | fine knit | marl | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | Pullover mit V-Aussc | NONE | NONE | NONE | title truncated tab; neck label second line illegible; plum colourway
B107-P026 | top | relaxed V-neck fine-knit jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | NONE | NONE | brand on neck label; tab truncated "Pullover mit V-Aussc"
B107-P027 | top | fitted crew-neck knit jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | NONE | NONE | Zoom view, no title; neck-label fibre line too small
B107-P028 | top | fitted crew-neck jumper | fine knit | marl | 2 | 3 | flat packshot | yes | falconeri.com | NONE | NONE | NONE | NONE | NONE | neck label too small to read; zoomed gallery view, no product text
B107-P029 | top | crew-neck fine-knit jumper | fine knit | marl | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | 100% PURO CASHMERE | NONE | composition read from neck label only; zoom view, no page text
B107-P030 | top | fitted crew-neck knit jumper | fine knit | marl | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | 100% PURO CASHMERE | NONE | Zoom view, no title; composition read from small neck label only
B107-P031 | top | fitted crew-neck jumper | fine knit | marl | 2 | 3 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | 100% PURO CASHMERE | NONE | composition from neck label; zoomed gallery view, no title
B107-P032 | top | crew-neck fine-knit jumper | fine knit | marl | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | NONE | NONE | brand on neck label; label second line illegible
B107-P033 | top | fitted crew-neck knit jumper | fine knit | marl | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | NONE | NONE | Zoom view, no title; neck-label fibre line too small
B107-P034 | top | fitted crew-neck jumper | fine knit | solid | 2 | 3 | flat packshot | yes | FALCONERI | FALCONERI | Rundhalspullover aus Kaschmir Ultrafine | Dunkelgrün - 9874 - Tiefes Waldgrün stückgefärbt | Kaschmir | Fr. 268.00 | fibre word from title only; tagged Neu; 20 colour swatches incl. sale
B107-P035 | top | crew-neck fine-knit jumper | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | NONE | NONE | brand on neck label; label second line illegible
B107-P036 | top | short-sleeve crew-neck knit tee | fine knit | solid | 1 | 2 | flat packshot | yes | FALCONERI (falconeri.com) | FALCONERI | Rundhals-T-Shirt aus Baumwolle Fresh | Hellblau - 9396 - Aquamarin | Baumwolle Fresh | Fr. 84.00 | Was Fr. 168.00 (-50%) sale; fibre only from title; swatches
B107-P037 | top | short-sleeve crew-neck knit top | fine knit | marl | 1 | 3 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | NONE | NONE | neck label second line illegible; zoomed gallery view, no title
B107-P038 | top | short-sleeve crew-neck silk T-shirt | satin | solid | 1 | 3 | flat packshot | no | falconeri.com | FALCONERI | Rundhals-T-Shirt aus Seide | Blau - 9400 - Blu navy | Seiden-Crêpe-de-Chine; Die aus Modal gefertigte Rückseite | Fr. 128.00 | sleeve touches panel edge; on-model image beside; 4-colour swatch row
B107-P039 | layer | V-neck button-front fine-knit cardigan | fine knit | solid | 2 | 2 | flat packshot | yes | falconeri.com | FALCONERI | NONE | NONE | NONE | NONE | Zoom view, no title; neck-label fibre line illegible
B108-P001 | top | long-sleeve Oxford button-down shirt | oxford cloth | solid | 2 | 2 | flat packshot | yes | ovsfashion.com | PIOMBO | Light blue pure cotton Oxford shirt, comfort fit | NONE | 100% Cotton | € 29,95 | colour only inside title; detail image cropped at right
B109-P001 | bottom | bootcut jeans | denim | solid | 3 | 1 | flat packshot | yes | zalando | Levi's® | 315® SHAPING BOOT - Jeans Bootcut - darkblue | darkblue | NONE | CHF 54.95 | was CHF 109.90 (-50%); size 32x30 last one; material section collapsed
